"grid_id","FD.FRic","FD.FEve","FD.FDiv","FD.FDis","FD.RaoQ"
8080,157.712495012868,0.813885981927263,0.752819626140677,1.93887369076177,4.97076023391813
8081,134.834293575769,0.816572848748051,0.739772056336524,1.91435655527722,4.97191011235955
8082,150.318315623265,0.810777585926427,0.737076143866499,1.91652885431893,4.97354497354497
8083,156.486434421356,0.81692349462636,0.743333703079038,1.92870094622213,4.97474747474747
8084,170.775713801312,0.818482726414964,0.747961985553592,1.93587393602433,4.97619047619048
8085,161.639237214347,0.82034663715064,0.743895236094865,1.93238036085616,4.97695852534562
8086,153.913216686622,0.818485025094069,0.743070448276919,1.93351819124505,4.97630331753555
8087,150.564259094913,0.816767652319074,0.74126732650433,1.93311800444709,4.97607655502392
8088,147.289852902572,0.817166893385491,0.743040206805683,1.93043606880077,4.97572815533981
8089,146.189754649399,0.817023605676081,0.743884582603284,1.93059939351,4.97524752475248
8090,143.465692951025,0.819585109422126,0.743893952768133,1.92935148215738,4.9746192893401
8091,138.341073608686,0.81773437630065,0.744407868599627,1.93399613889054,4.97448979591837
8092,133.521619948876,0.81965008866666,0.743444814164642,1.93352560442432,4.9738219895288
8093,134.259646541944,0.813654664291602,0.735424380375181,1.92467918616552,4.97340425531915
8094,139.280398080942,0.810974570844717,0.736181631750981,1.92231541264179,4.97354497354497
8095,140.144421845909,0.812979235154779,0.739288832204098,1.92799995260082,4.97395833333333
8096,143.337561401062,0.812616101500642,0.737690444888035,1.92942963742309,4.97422680412371
8097,147.669908055318,0.809531944987208,0.733514499104596,1.92909233659384,4.97448979591837
8098,156.27421175884,0.81561584836354,0.737580236295051,1.93357060530971,4.97572815533981
8099,173.026078855846,0.823094543807369,0.737806236854496,1.93869901871062,4.97737556561086
8100,171.633424838744,0.826112730159366,0.742891447051624,1.94547495719429,4.97826086956522
8101,191.21037115728,0.828464134016497,0.741761439781139,1.94541387695961,4.97959183673469
8102,187.036342674954,0.827717997905662,0.743728911787719,1.95021849939298,4.97991967871486
8103,198.911778955081,0.827816103440502,0.741949578649195,1.93882285491247,4.98076923076923
8104,203.43768704267,0.825447326991356,0.742345931016357,1.93631937719742,4.9812030075188
8105,208.572501689911,0.828441138097678,0.744366921702087,1.93668282542168,4.9812734082397
8106,203.159123951337,0.823883594704395,0.744572978900965,1.93605107968679,4.9811320754717
8107,211.605390682333,0.821674855826465,0.741470648081782,1.93536385229881,4.9812030075188
8108,219.911624878561,0.822209926879999,0.743021831507535,1.93613974878615,4.98161764705882
8109,207.243982282881,0.819568225857844,0.742437631891729,1.93417850850922,4.98207885304659
8110,217.937473766861,0.821801238022216,0.745738973222815,1.93256458027122,4.98275862068965
8111,221.136893010108,0.822379164414472,0.74742793242003,1.93466026024875,4.98333333333333
8112,213.791575031612,0.820848585773944,0.745577714860135,1.92970753995375,4.98381877022654
8113,201.685642824045,0.82485738263472,0.743654268570035,1.92785137530571,4.98412698412699
8114,210.102457755752,0.825844081888653,0.742595761590419,1.92929962341999,4.98470948012233
8115,208.702295554794,0.823227123562495,0.742883905510045,1.92757837044416,4.98511904761905
8116,211.179165907065,0.821285795623345,0.743065724725288,1.93121983571432,4.98542274052478
8117,220.331127315065,0.820951914951119,0.741236585328338,1.9367108357623,4.98607242339833
8118,225.650488669792,0.822276208960865,0.739807201523502,1.93477832598574,4.98630136986302
8119,224.104877163562,0.824135231898224,0.740218901859296,1.93847038973324,4.98630136986301
8120,224.708260588569,0.819225307738991,0.739076875079205,1.94003129000012,4.98618784530387
8174,115.387874305326,0.805102501122356,0.736812884130107,1.93123553224279,4.95833333333333
8175,118.084141741602,0.801992382981347,0.737955993695392,1.92947120430397,4.95867768595041
