"Estimate","Cond. SE","t_value","item","class","diversity_index"
-0.045431496479706,0.0760287535158003,-0.597556771337366,"(Intercept)","amphibian","FD.FRic"
0.190430823375989,0.0502011885139284,3.79335288691728,"prec","amphibian","FD.FRic"
0.0914897353636487,0.0438620175687357,2.08585332902838,"tavg","amphibian","FD.FRic"
-0.281803059395882,0.0966262117253675,-2.91642458463369,"LGM_sat_velocity","amphibian","FD.FRic"
-0.0598978025416256,0.0666192123618346,-0.899107035614555,"LGM_dO_velocity","amphibian","FD.FRic"
0.0554997813353711,0.0215366817751567,2.57698850337251,"X50km_range","amphibian","FD.FRic"
0.000170191125575431,0.010448568954786,0.0162884626891872,"pop_10000BC_value","amphibian","FD.FRic"
-0.0450912908090238,0.119571108271663,-0.377108579662716,"(Intercept)","amphibian","FD.FEve"
-0.0421445140909981,0.0609037208089997,-0.691985867713528,"prec","amphibian","FD.FEve"
-0.197384003141735,0.0501699037420958,-3.9343109796744,"tavg","amphibian","FD.FEve"
0.199034629586262,0.136711331701243,1.4558751429707,"LGM_sat_velocity","amphibian","FD.FEve"
-0.502739255398522,0.0945236449796702,-5.31866133078817,"LGM_dO_velocity","amphibian","FD.FEve"
-0.0731879786390949,0.0244377487767125,-2.99487400855999,"X50km_range","amphibian","FD.FEve"
-0.000314380437372372,0.0118036756715908,-0.0266341134845839,"pop_10000BC_value","amphibian","FD.FEve"
-0.357206940075958,0.207519882776354,-1.7213142918981,"(Intercept)","amphibian","FD.FDiv"
0.16237609862159,0.0717114906791069,2.26429679656482,"prec","amphibian","FD.FDiv"
-0.183779077424221,0.0610961550101727,-3.00803016807885,"tavg","amphibian","FD.FDiv"
0.26033547766937,0.195261955040783,1.33326268097129,"LGM_sat_velocity","amphibian","FD.FDiv"
-0.245352166978635,0.126218967638769,-1.94386130364192,"LGM_dO_velocity","amphibian","FD.FDiv"
-0.0890393526156009,0.0292180724500423,-3.04740679823566,"X50km_range","amphibian","FD.FDiv"
-0.00432671236700634,0.0140070311059531,-0.308895749161823,"pop_10000BC_value","amphibian","FD.FDiv"
-0.02199492761567,0.140429655076022,-0.156625946305735,"(Intercept)","lizard","FD.FRic"
0.111719961795809,0.0605175696775347,1.84607482407347,"prec","lizard","FD.FRic"
0.115656536597411,0.0356705962338479,3.24234940843698,"tavg","lizard","FD.FRic"
0.172089235219404,0.119639078135262,1.43840321993156,"LGM_sat_velocity","lizard","FD.FRic"
-0.208974982601413,0.091479073395741,-2.28440204785833,"LGM_dO_velocity","lizard","FD.FRic"
0.022684020622147,0.0175695140155655,1.29110119961488,"X50km_range","lizard","FD.FRic"
-0.00998434890626711,0.0104320333626853,-0.95708559962821,"pop_10000BC_value","lizard","FD.FRic"
0.109938639083556,0.171589937925908,0.640705628852357,"(Intercept)","lizard","FD.FEve"
-0.0393775417896445,0.0493153869818544,-0.798483885042482,"prec","lizard","FD.FEve"
0.0348391718624287,0.0271570705476708,1.2828766564226,"tavg","lizard","FD.FEve"
0.410925634544932,0.125975267091438,3.26195485854112,"LGM_sat_velocity","lizard","FD.FEve"
-0.0382644052107962,0.0896609886280597,-0.426767603127021,"LGM_dO_velocity","lizard","FD.FEve"
-0.00384668667796323,0.0131977398877297,-0.291465562337654,"X50km_range","lizard","FD.FEve"
3.08836370554133e-05,0.00786015119845201,0.00392914032766896,"pop_10000BC_value","lizard","FD.FEve"
0.109736094445289,0.232698833233695,0.471579908331914,"(Intercept)","lizard","FD.FDiv"
0.0108930749323145,0.0560339647128631,0.19440128836384,"prec","lizard","FD.FDiv"
-0.0288245352344719,0.0323318419836419,-0.891521591904832,"tavg","lizard","FD.FDiv"
0.301087925631044,0.141149674989671,2.13311100895611,"LGM_sat_velocity","lizard","FD.FDiv"
0.0858763044554983,0.0910009743269042,0.943685549420642,"LGM_dO_velocity","lizard","FD.FDiv"
0.0150059764454414,0.0157022311184111,0.955658869894401,"X50km_range","lizard","FD.FDiv"
-0.00335754128997736,0.00933116645136894,-0.359820104750654,"pop_10000BC_value","lizard","FD.FDiv"
0.0892351559642111,0.15955725355033,0.559267309875468,"(Intercept)","bird","FD.FRic"
-0.0255887278571268,0.0249262312967266,-1.02657828825038,"prec","bird","FD.FRic"
0.036315158686196,0.0127340190697246,2.85182223203483,"tavg","bird","FD.FRic"
-0.287384355447305,0.0996514067805844,-2.88389662255423,"LGM_sat_velocity","bird","FD.FRic"
-0.131189634242278,0.0667025546768127,-1.96678575322816,"LGM_dO_velocity","bird","FD.FRic"
0.0673911036447261,0.00583038700332275,11.5585987013074,"X50km_range","bird","FD.FRic"
0.00301344677836778,0.00360493053421889,0.835923674468454,"pop_10000BC_value","bird","FD.FRic"
0.409332510461591,0.415230274299268,0.985796402134623,"(Intercept)","bird","FD.FEve"
-0.0313654536602045,0.0334378803591654,-0.938021588787913,"prec","bird","FD.FEve"
0.0236617983245334,0.0184472801092267,1.28267138485627,"tavg","bird","FD.FEve"
0.209975746015369,0.125773752530305,1.66947190324767,"LGM_sat_velocity","bird","FD.FEve"
-0.0203247766533429,0.0709085442235201,-0.28663367547463,"LGM_dO_velocity","bird","FD.FEve"
-0.00801724214568857,0.00852360920632709,-0.940592412394665,"X50km_range","bird","FD.FEve"
0.000544067468775392,0.00511379473355809,0.106392121139528,"pop_10000BC_value","bird","FD.FEve"
0.183426970864453,0.426196283556456,0.430381441465936,"(Intercept)","bird","FD.FDiv"
-0.00911439699486201,0.0451418793989814,-0.201905572302505,"prec","bird","FD.FDiv"
0.0842498502665004,0.0259287987139221,3.24927703732235,"tavg","bird","FD.FDiv"
