"X","name","result.category","result.published_year"
208,"Arielulus circumdatus","LC",2019
209,"Arielulus torquatus","LC",2019
210,"Artamus fuscus","LC",2016
211,"Arundinax aedon","LC",2016
212,"Arvicola amphibius","LC",2021
213,"Aselliscus stoliczkanus","LC",2008
214,"Asio flammeus","LC",2021
215,"Asio otus","LC",2021
216,"Asymblepharus alaicus","LC",2019
217,"Ateuchosaurus chinensis","LC",2019
218,"Athene noctua","LC",2019
219,"Atherurus macrourus","LC",2020
220,"Aviceda jerdoni","LC",2020
221,"Aviceda leuphotes","LC",2021
222,"Axis porcinus","EN",2015
223,"Aythya baeri","CR",2019
224,"Aythya ferina","VU",2021
225,"Aythya fuligula","LC",2016
226,"Aythya nyroca","NT",2019
227,"Balaenoptera acutorostrata","LC",2018
228,"Balaenoptera edeni","LC",2018
229,"Balaenoptera musculus","EN",2018
230,"Balaenoptera omurai","DD",2019
231,"Balaenoptera physalus","VU",2018
232,"Bambusicola fytchii","LC",2016
233,"Bambusicola sonorivox","LC",2016
234,"Bambusicola thoracicus","LC",2016
235,"Bandicota indica","LC",2016
236,"Barbastella beijingensis","DD",2021
237,"Barbastella darjelingensis","LC",2021
238,"Barbastella leucomelas","LC",2017
239,"Batrachostomus hodgsoni","LC",2018
240,"Batrachuperus karlschmidti","VU",2004
241,"Batrachuperus londongensis","EN",2020
242,"Batrachuperus pinchonii","VU",2021
243,"Batrachuperus tibetanus","VU",2020
244,"Batrachuperus yenyuanensis","EN",2020
245,"Belomys pearsonii","DD",2016
246,"Berylmys berdmorei","LC",2016
247,"Berylmys bowersi","LC",2016
248,"Berylmys mackenziei","DD",2016
249,"Berylmys manipulus","DD",2016
250,"Blarinella griselda","LC",2016
251,"Blarinella quadraticauda","NT",2016
252,"Blarinella wardi","LC",2016
253,"Blythipicus pyrrhotis","LC",2018
254,"Boiga guangxiensis","LC",2012
255,"Boiga kraepelini","LC",2012
256,"Bombina fortinuptialis","VU",2004
257,"Bombina lichuanensis","VU",2004
258,"Bombina maxima","LC",2004
259,"Bombina microdeladigitora","VU",2004
260,"Bombina orientalis","LC",2020
261,"Bombycilla japonica","NT",2018
262,"Bonasa bonasia","LC",2016
263,"Bonasa sewerzowi","NT",2017
264,"Bos gaurus","VU",2016
265,"Bos mutus","VU",2016
266,"Botaurus stellaris","LC",2016
267,"Brachiones przewalskii","LC",2016
268,"Brachypodius atriceps","LC",2016
269,"Brachypteryx cruralis","LC",2016
270,"Brachypteryx goodfellowi","LC",2016
271,"Brachypteryx hyperythra","NT",2018
272,"Brachypteryx leucophris","LC",2016
273,"Brachypteryx sinensis","LC",2016
274,"Bubo blakistoni","EN",2016
275,"Bubo bubo","LC",2017
276,"Bubo coromandus","LC",2016
277,"Bubo nipalensis","LC",2018
278,"Bubulcus ibis","LC",2019
279,"Bucanetes mongolicus","LC",2018
280,"Bucephala clangula","LC",2018
281,"Buceros bicornis","VU",2020
282,"Budorcas taxicolor","VU",2008
283,"Buergeria choui","LC",2021
284,"Buergeria otai","LC",2021
285,"Buergeria oxycephala","VU",2020
286,"Buergeria robusta","LC",2020
287,"Bufo ailaoanus","EN",2020
288,"Bufo aspinius","EN",2020
289,"Bufo bankorensis","LC",2020
290,"Bufo cryptotympanicus","LC",2021
291,"Bufo gargarizans","LC",2021
292,"Bufo luchunnicus","CR",2020
293,"Bufo menglianus","DD",2020
294,"Bufo pageoti","NT",2004
295,"Bufo stejnegeri","LC",2020
296,"Bufotes zamdaensis","DD",2008
297,"Bufo tuberculatus","NT",2020
298,"Bufo tuberospinius","CR",2020
299,"Bulweria bulwerii","LC",2018
300,"Bungarus fasciatus","LC",2013
301,"Bungarus magnimaculatus","LC",2012
302,"Bungarus multicinctus","LC",2012
303,"Bungarus wanghaotingi","LC",2012
304,"Burhinus oedicnemus","LC",2018
305,"Butastur indicus","LC",2021
306,"Butastur liventer","LC",2017
307,"Butastur teesa","LC",2016
308,"Buteo buteo","LC",2021
309,"Buteo hemilasius","LC",2021
310,"Buteo japonicus","LC",2021
311,"Buteo refectus","LC",2016
312,"Buteo rufinus","LC",2021
313,"Butorides striata","LC",2016
314,"Cacomantis merulinus","LC",2016
315,"Cacomantis sonneratii","LC",2016
316,"Calamaria pavimentata","LC",2012
317,"Calamaria septentrionalis","LC",2012
318,"Calamaria yunnanensis","EN",2012
319,"Calandrella acutirostris","LC",2016
320,"Calandrella brachydactyla","LC",2018
321,"Calandrella dukhunensis","LC",2016
322,"Calliope calliope","LC",2016
323,"Calliope obscura","VU",2020
324,"Calliope pectardens","NT",2019
325,"Calliope pectoralis","LC",2018
326,"Calliope tschebaiewi","LC",2018
327,"Callorhinus ursinus","VU",2015
328,"Callosciurus caniceps","LC",2016
329,"Callosciurus erythraeus","LC",2017
330,"Callosciurus inornatus","LC",2016
331,"Callosciurus phayrei","LC",2016
332,"Callosciurus pygerythrus","LC",2016
333,"Callosciurus quinquestriatus","LC",2019
334,"Calonectris leucomelas","NT",2018
335,"Calotes medogensis","LC",2019
336,"Camelus ferus","CR",2008
337,"Canis lupus","LC",2018
338,"Cansumys canus","LC",2016
339,"Capra sibirica","NT",2020
340,"Capreolus pygargus","LC",2016
341,"Capricornis rubidus","VU",2022
342,"Capricornis sumatraensis","VU",2020
343,"Capricornis swinhoei","LC",2008
344,"Caprimulgus affinis","LC",2016
345,"Caprimulgus europaeus","LC",2016
346,"Caprimulgus jotaka","LC",2016
347,"Caprimulgus macrurus","LC",2016
348,"Cardiocranius paradoxus","DD",2016
349,"Carduelis caniceps","LC",2017
350,"Caretta caretta","VU",2017
351,"Carpodacus dubius","LC",2018
352,"Carpodacus edwardsii","LC",2018
353,"Carpodacus erythrinus","LC",2017
354,"Carpodacus formosanus","LC",2016
355,"Carpodacus pulcherrimus","LC",2018
356,"Carpodacus puniceus","LC",2017
357,"Carpodacus rhodochlamys","LC",2018
358,"Carpodacus roborowskii","LC",2016
359,"Carpodacus rodochroa","LC",2018
360,"Carpodacus rodopeplus","LC",2016
361,"Carpodacus rubicilla","LC",2016
362,"Carpodacus rubicilloides","LC",2018
363,"Carpodacus sibiricus","LC",2018
364,"Carpodacus sillemi","DD",2020
365,"Carpodacus sipahi","LC",2016
366,"Carpodacus stoliczkae","LC",2016
367,"Carpodacus subhimachalus","LC",2018
368,"Carpodacus thura","LC",2016
369,"Carpodacus trifasciatus","LC",2016
370,"Carpodacus verreauxii","LC",2016
371,"Carpodacus vinaceus","LC",2016
372,"Carpodacus waltoni","LC",2016
373,"Caryomys eva","LC",2016
374,"Caryomys inez","LC",2016
375,"Catopuma temminckii","NT",2015
376,"Cecropis daurica","LC",2017
377,"Centropus bengalensis","LC",2016
378,"Centropus sinensis","LC",2016
379,"Cephalopyrus flammiceps","LC",2016
380,"Certhia discolor","LC",2016
381,"Certhia himalayana","LC",2016
382,"Certhia hodgsoni","LC",2018
383,"Certhia nipalensis","LC",2016
384,"Certhia tianquanensis","LC",2019
385,"Cervus albirostris","VU",2015
386,"Cervus canadensis","LC",2018
387,"Cervus hanglu","LC",2017
388,"Cervus nippon","LC",2015
389,"Ceryle rudis","LC",2017
390,"Cettia brunnifrons","LC",2016
391,"Cettia castaneocoronata","LC",2016
392,"Cettia cetti","LC",2017
393,"Cettia major","LC",2016
394,"Ceyx erithaca","LC",2016
395,"Chaerephon plicatus","LC",2020
396,"Chaetocauda sichuanensis","DD",2016
397,"Chalcoparia singalensis","LC",2016
398,"Chalcophaps indica","LC",2016
399,"Charadrius alexandrinus","LC",2019
400,"Charadrius asiaticus","LC",2018
401,"Charadrius dealbatus","DD",2016
402,"Charadrius dubius","LC",2019
403,"Charadrius leschenaultii","LC",2019
404,"Charadrius mongolus","LC",2016
405,"Charadrius placidus","LC",2016
406,"Charadrius veredus","LC",2016
407,"Chelidorhynx hypoxanthus","LC",2016
408,"Chimarrogale himalayica","LC",2016
409,"Chimarrogale styani","LC",2016
410,"Chirixalus doriae","LC",2004
411,"Chirixalus nongkhorensis","LC",2017
412,"Chiromyscus chiropus","LC",2016
413,"Chiropodomys gliroides","LC",2016
414,"Chlamydotis macqueenii","VU",2021
415,"Chlidonias hybrida","LC",2017
416,"Chlidonias leucopterus","LC",2016
417,"Chlidonias niger","LC",2019
418,"Chloris ambigua","LC",2016
419,"Chloris sinica","LC",2018
420,"Chloris spinoides","LC",2016
421,"Chloropsis aurifrons","LC",2016
422,"Chloropsis hardwickii","LC",2016
423,"Chloropsis lazulina","LC",2016
424,"Chloropsis moluccensis","LC",2016
425,"Chodsigoa caovansunga","DD",2016
426,"Chodsigoa hypsibia","LC",2016
427,"Chodsigoa lamula","LC",2016
428,"Chodsigoa parca","LC",2016
429,"Chodsigoa parva","DD",2016
430,"Chodsigoa salenskii","DD",2016
431,"Chodsigoa smithii","NT",2016
432,"Chodsigoa sodalis","DD",2016
433,"Chrotogale owstoni","EN",2016
434,"Chrysococcyx maculatus","LC",2018
435,"Chrysococcyx xanthorhynchus","LC",2018
436,"Chrysocolaptes guttacristatus","LC",2016
437,"Chrysolophus amherstiae","LC",2018
438,"Chrysolophus pictus","LC",2018
439,"Chrysominla strigula","LC",2016
440,"Chrysomma sinense","LC",2016
441,"Chrysophlegma flavinucha","LC",2018
442,"Ciconia boyciana","EN",2018
443,"Ciconia ciconia","LC",2016
444,"Ciconia episcopus","NT",2020
445,"Ciconia nigra","LC",2017
446,"Cinclidium frontale","LC",2016
447,"Cinclus cinclus","LC",2018
448,"Cinclus pallasii","LC",2016
449,"Cinnyris asiaticus","LC",2019
450,"Cinnyris jugularis","LC",2016
451,"Circaetus gallicus","LC",2021
452,"Circus aeruginosus","LC",2021
453,"Circus cyaneus","LC",2021
454,"Circus macrourus","NT",2021
455,"Circus melanoleucos","LC",2021
456,"Circus pygargus","LC",2021
457,"Circus spilonotus","LC",2021
458,"Cissa chinensis","LC",2018
459,"Cissa hypoleuca","LC",2016
460,"Cisticola exilis","LC",2016
461,"Cisticola juncidis","LC",2017
462,"Clamator coromandus","LC",2016
463,"Clamator jacobinus","LC",2016
464,"Clanga clanga","VU",2021
465,"Clinotarsus alticola","LC",2004
466,"Coccothraustes coccothraustes","LC",2017
467,"Cochoa purpurea","LC",2016
468,"Cochoa viridis","LC",2016
469,"Coelops frithii","NT",2019
470,"Columba eversmanni","VU",2017
471,"Columba hodgsonii","LC",2016
472,"Columba leuconota","LC",2016
473,"Columba livia","LC",2019
474,"Columba oenas","LC",2016
475,"Columba palumbus","LC",2018
476,"Columba pulchricollis","LC",2016
477,"Columba punicea","VU",2020
478,"Columba rupestris","LC",2016
479,"Copsychus saularis","LC",2021
480,"Coracias affinis","LC",2016
481,"Coracias garrulus","LC",2019
482,"Coracina javensis","LC",2020
483,"Corvus corax","LC",2017
484,"Corvus corone","LC",2017
485,"Corvus dauuricus","LC",2016
486,"Corvus frugilegus","LC",2017
487,"Corvus macrorhynchos","LC",2016
488,"Corvus monedula","LC",2018
489,"Corvus pectoralis","VU",2018
490,"Corvus splendens","LC",2018
491,"Coturnicops exquisitus","VU",2016
492,"Coturnix coturnix","LC",2018
493,"Coturnix japonica","NT",2016
494,"Crex crex","LC",2016
495,"Cricetulus alticola","LC",2016
496,"Cricetulus barabensis","LC",2016
497,"Cricetulus kamensis","LC",2016
498,"Cricetulus lama","LC",2017
499,"Cricetulus longicaudatus","LC",2016
500,"Cricetulus migratorius","LC",2016
501,"Cricetulus sokolovi","LC",2016
502,"Cricetulus tibetanus","LC",2017
503,"Cricetus cricetus","CR",2020
504,"Crocidura attenuata","LC",2017
505,"Crocidura fuliginosa","LC",2016
506,"Crocidura gmelini","LC",2017
507,"Crocidura indochinensis","LC",2016
508,"Crocidura lasiura","LC",2016
509,"Crocidura rapax","DD",2016
510,"Crocidura shantungensis","LC",2016
511,"Crocidura sibirica","LC",2016
512,"Crocidura suaveolens","LC",2016
513,"Crocidura tanakae","LC",2016
514,"Crocidura vorax","LC",2016
515,"Crocidura wuchihensis","DD",2016
516,"Crossoptilon auritum","LC",2016
517,"Crossoptilon crossoptilon","NT",2016
518,"Crossoptilon harmani","NT",2016
519,"Crossoptilon mantchuricum","VU",2016
520,"Crypsirina temia","LC",2017
521,"Cuculus canorus","LC",2019
522,"Cuculus micropterus","LC",2018
523,"Cuculus poliocephalus","LC",2016
524,"Cuculus saturatus","LC",2021
525,"Culicicapa ceylonensis","LC",2016
526,"Cuon alpinus","EN",2015
527,"Cuora galbinifrons","CR",2020
528,"Cuora mouhotii","EN",2020
529,"Cuora trifasciata","CR",2020
530,"Cutia nipalensis","LC",2016
531,"Cyanecula svecica","LC",2019
532,"Cyanistes cyanus","LC",2016
533,"Cyanoderma chrysaeum","LC",2016
534,"Cyanoderma ruficeps","LC",2016
535,"Cyanoderma rufifrons","LC",2016
536,"Cyanopica cyanus","LC",2017
537,"Cyanoptila cumatilis","NT",2016
538,"Cyanoptila cyanomelana","LC",2017
539,"Cygnus cygnus","LC",2016
540,"Cygnus olor","LC",2016
541,"Cylindrophis ruffus","LC",2012
542,"Cynops chenggongensis","CR",2020
543,"Cynops cyanurus","LC",2004
544,"Cynops glaucus","CR",2020
545,"Cynops orientalis","LC",2020
546,"Cynops orphicus","EN",2020
547,"Cynops wolterstorffi","EX",2020
548,"Cynops yunnanensis","VU",2020
549,"Cynopterus brachyotis","LC",2019
550,"Cynopterus sphinx","LC",2019
551,"Cyornis banyumas","LC",2019
552,"Cyornis brunneatus","VU",2016
553,"Cyornis concretus","LC",2016
554,"Cyornis glaucicomans","LC",2016
555,"Cyornis hainanus","LC",2017
556,"Cyornis poliogenys","LC",2018
557,"Cyornis rubeculoides","LC",2017
558,"Cyornis unicolor","LC",2016
559,"Cypsiurus balasiensis","LC",2016
560,"Cyrtodactylus cayuensis","LC",2021
561,"Cyrtodactylus medogensis","LC",2021
562,"Cyrtodactylus tibetanus","LC",2019
563,"Cyrtodactylus zhaoermii","LC",2019
564,"Dacnomys millardi","DD",2016
565,"Delichon dasypus","LC",2016
566,"Delichon lagopodum","LC",2016
567,"Delichon nipalense","LC",2016
568,"Delichon urbicum","LC",2017
569,"Delphinus delphis","LC",2021
570,"Dendrelaphis hollinrakei","DD",2012
571,"Dendrelaphis ngansonensis","LC",2012
572,"Dendrelaphis subocularis","LC",2012
573,"Dendrocitta formosae","LC",2016
574,"Dendrocitta frontalis","LC",2018
575,"Dendrocopos atratus","LC",2016
576,"Dendrocopos darjellensis","LC",2016
577,"Dendrocopos hyperythrus","LC",2016
578,"Dendrocopos leucopterus","LC",2016
579,"Dendrocopos leucotos","LC",2020
580,"Dendrocopos major","LC",2016
581,"Dendrocygna javanica","LC",2016
582,"Dendronanthus indicus","LC",2016
583,"Dermochelys coriacea","VU",2013
584,"Dibamus bogadeki","EN",2019
585,"Dibamus bourreti","LC",2019
586,"Dicaeum chrysorrheum","LC",2016
587,"Dicaeum cruentatum","LC",2016
588,"Dicaeum ignipectus","LC",2016
589,"Dicaeum melanozanthum","LC",2016
590,"Dicaeum minullum","LC",2016
591,"Dicrurus aeneus","LC",2016
592,"Dicrurus annectens","LC",2017
593,"Dicrurus hottentottus","LC",2016
594,"Dicrurus leucophaeus","LC",2016
595,"Dicrurus macrocercus","LC",2016
596,"Dicrurus paradiseus","LC",2016
597,"Dicrurus remifer","LC",2016
598,"Dinopium javanense","LC",2017
599,"Diploderma batangensis","LC",2019
600,"Diploderma brevicauda","LC",2019
601,"Diploderma brevipes","VU",2021
602,"Diploderma dymondi","LC",2019
603,"Diploderma fasciata","LC",2019
604,"Diploderma flaviceps","LC",2019
605,"Diploderma grahami","DD",2019
606,"Diploderma iadinum","NT",2019
607,"Diploderma laeviventre","LC",2019
608,"Diploderma luei","EN",2019
609,"Diploderma makii","VU",2019
610,"Diploderma micangshanensis","LC",2019
611,"Diploderma polygonatum","NT",2021
612,"Diploderma slowinskii","DD",2021
613,"Diploderma splendidum","LC",2021
614,"Diploderma swinhonis","LC",2019
615,"Diploderma varcoae","LC",2019
616,"Diploderma vela","LC",2019
617,"Diploderma yulongense","LC",2021
618,"Diploderma yunnanense","LC",2019
619,"Diploderma zhaoermii","LC",2019
620,"Dipus sagitta","LC",2016
621,"Dopasia hainanensis","LC",2019
622,"Dopasia harti","LC",2021
623,"Dopasia ludovici","LC",2019
624,"Draco blanfordii","LC",2019
625,"Draco maculatus","LC",2021
626,"Dremomys gularis","DD",2019
627,"Dremomys lokriah","LC",2016
628,"Dremomys pernyi","LC",2016
629,"Dremomys pyrrhomerus","LC",2016
630,"Dremomys rufigenis","LC",2017
631,"Dryobates cathpharius","LC",2016
632,"Dryobates minor","LC",2018
633,"Dryobates pernyii","LC",2016
634,"Dryocopus javensis","LC",2016
635,"Dryocopus martius","LC",2016
636,"Dryomys nitedula","LC",2016
637,"Dryophytes immaculatus","LC",2017
638,"Dryophytes japonicus","LC",2017
639,"Ducula aenea","NT",2021
640,"Ducula badia","LC",2016
641,"Dugong dugon","VU",2019
642,"Duttaphrynus himalayanus","LC",2004
643,"Duttaphrynus melanostictus","LC",2004
644,"Duttaphrynus stomaticus","LC",2009
645,"Echinotriton chinhaiensis","CR",2004
646,"Egretta eulophotes","VU",2016
647,"Egretta garzetta","LC",2016
648,"Egretta sacra","LC",2018
649,"Elachura formosa","LC",2016
650,"Elanus caeruleus","LC",2019
651,"Elaphe bimaculata","LC",2012
652,"Elaphe carinata","LC",2021
653,"Elaphe davidi","DD",2021
654,"Elaphe dione","LC",2017
655,"Elaphe moellendorffi","VU",2012
656,"Elaphe schrenckii","LC",2021
657,"Elaphodus cephalophus","NT",2015
658,"Elaphurus davidianus","EW",2016
659,"Elephas maximus","EN",2020
660,"Ellobius tancrei","LC",2016
661,"Emberiza aureola","CR",2017
662,"Emberiza bruniceps","LC",2017
663,"Emberiza buchanani","LC",2017
664,"Emberiza calandra","LC",2019
665,"Emberiza cia","LC",2017
666,"Emberiza cioides","LC",2016
667,"Emberiza citrinella","LC",2016
668,"Emberiza elegans","LC",2018
669,"Emberiza fucata","LC",2016
670,"Emberiza godlewskii","LC",2018
671,"Emberiza hortulana","LC",2017
672,"Emberiza jankowskii","EN",2018
673,"Emberiza koslowi","NT",2017
674,"Emberiza lathami","LC",2016
675,"Emberiza leucocephalos","LC",2017
676,"Emberiza pallasi","LC",2019
677,"Emberiza pusilla","LC",2017
678,"Emberiza rustica","VU",2016
679,"Emberiza rutila","LC",2016
680,"Emberiza schoeniclus","LC",2019
681,"Emberiza siemsseni","LC",2019
682,"Emberiza spodocephala","LC",2016
683,"Emberiza tristrami","LC",2016
684,"Emberiza yessoensis","NT",2020
685,"Emydocephalus ijimae","LC",2010
686,"Enicurus leschenaulti","LC",2016
687,"Enicurus maculatus","LC",2016
688,"Enicurus schistaceus","LC",2016
689,"Enicurus scouleri","LC",2018
690,"Eolagurus luteus","LC",2016
691,"Eolagurus przewalskii","LC",2016
692,"Eonycteris spelaea","LC",2020
693,"Eophona migratoria","LC",2016
694,"Eophona personata","LC",2018
695,"Eospalax fontanierii","LC",2016
696,"Eospalax rothschildi","LC",2016
697,"Eospalax smithii","LC",2016
698,"Eothenomys cachinus","LC",2016
699,"Eothenomys chinensis","LC",2016
700,"Eothenomys custos","LC",2016
701,"Eothenomys melanogaster","LC",2016
702,"Eothenomys miletus","LC",2016
703,"Eothenomys olitor","LC",2016
704,"Eothenomys proditor","DD",2019
705,"Eothenomys wardi","NT",2016
706,"Eozapus setchuanus","LC",2016
707,"Episoriculus caudatus","LC",2016
708,"Episoriculus fumidus","LC",2016
709,"Episoriculus leucops","LC",2016
710,"Episoriculus macrurus","LC",2016
711,"Eptesicus gobiensis","LC",2019
712,"Eptesicus nilssonii","LC",2016
713,"Eptesicus pachyomus","LC",2019
714,"Eptesicus pachyotis","LC",2019
715,"Eptesicus serotinus","LC",2021
716,"Equus ferus","EN",2015
717,"Equus hemionus","NT",2020
718,"Equus kiang","LC",2015
719,"Eremias argus","LC",2019
720,"Eremias arguta","LC",2019
721,"Eremias brenchleyi","LC",2019
722,"Eremias buechneri","LC",2021
723,"Eremias grammica","LC",2019
724,"Eremias kokshaaliensis","DD",2021
725,"Eremias multiocellata","LC",2021
726,"Eremias przewalskii","LC",2019
727,"Eremias quadrifrons","DD",2019
728,"Eremias stummeri","LC",2019
729,"Eremias velox","LC",2019
730,"Eremias vermiculata","LC",2019
731,"Eremias yarkandensis","LC",2021
732,"Eremophila alpestris","LC",2019
733,"Eretmochelys imbricata","CR",2008
734,"Erinaceus amurensis","LC",2016
735,"Erpornis zantholeuca","LC",2016
736,"Erythrogenys erythrocnemis","LC",2016
737,"Erythrogenys erythrogenys","LC",2016
738,"Erythrogenys gravivox","LC",2018
739,"Erythrogenys hypoleucos","LC",2016
740,"Erythrogenys swinhoei","LC",2018
741,"Eryx tataricus","LC",2021
742,"Esacus recurvirostris","NT",2017
743,"Eschrichtius robustus","LC",2018
744,"Euchoreutes naso","LC",2016
745,"Eudromias morinellus","LC",2016
746,"Eudynamys scolopaceus","LC",2016
747,"Eumyias thalassinus","LC",2016
748,"Euprepiophis mandarinus","LC",2012
749,"Euprepiophis perlacea","EN",2012
750,"Euroscaptor grandis","LC",2016
751,"Euroscaptor klossi","LC",2016
752,"Euroscaptor longirostris","LC",2016
753,"Euroscaptor micrura","LC",2016
754,"Euroscaptor parvidens","DD",2016
755,"Eurystomus orientalis","LC",2016
756,"Eutamias sibiricus","LC",2016
757,"Eutropis longicaudata","LC",2019
758,"Eutropis multifasciata","LC",2018
759,"Falco amurensis","LC",2021
760,"Falco cherrug","EN",2021
761,"Falco columbarius","LC",2021
762,"Falco naumanni","LC",2021
