"id","x","y","prec","tavg","pop_value","dem_value","pop_10000BC_value","LGM_sat_value","modern_sat_value","LGM_dO_value","modern_dO_value","LGM_sat_velocity","LGM_dO_velocity","FID_1","left","top","right","bottom","X50km_stdev","X50km_range"
26,7115435.42584252,4622440.95924289,296.016537554695,-9.29034059894848,0.654488942865455,5144.72259198885,0.000584603093817723,-8.50594778551799,-1.9247090687334,-13.091847192093,-14.9656759320658,6.58123871678459,1.87382873997283,0,7090435.42584252,4647440.95924289,7140435.42584252,4597440.95924289,506.810419262755,2493
27,7115435.42584252,4572440.95924289,211.393574442874,-6.04774779773108,NA,4699.80472581493,0.0042522843262159,-9.53543033423396,-2.98462347506967,-13.0454578875665,-15.1277389213256,6.55080685916429,2.0822810337591,0,7090435.42584252,4597440.95924289,7140435.42584252,4547440.95924289,297.977691625558,1542
126,7165435.42584252,4722440.95924289,292.014048054704,-0.142962590664526,NA,3843.09962481243,0.149967885861336,-5.91000551975552,0.612732752374442,-12.9579544163823,-14.381140480016,6.52273827212996,1.42318606363366,0,7140435.42584252,4747440.95924289,7190435.42584252,4697440.95924289,391.996911721625,1995
127,7165435.42584252,4672440.95924289,182.167664786087,0.773332857146016,0.480406688393919,3643.29494561807,0.000985552155024407,-7.39765453799787,-0.822282843196957,-12.8012525180146,-14.6538387510609,6.57537169480091,1.8525862330463,0,7140435.42584252,4697440.95924289,7190435.42584252,4647440.95924289,510.124443240611,2553
128,7165435.42584252,4622440.95924289,160.098646891314,-3.86173994606004,1.56963646168582,3629.13811102427,0.00100045465271011,-8.87462182340272,-2.24699462851368,-12.6456757827687,-14.9245789728342,6.62762719488904,2.27890319006556,0,7140435.42584252,4647440.95924289,7190435.42584252,4597440.95924289,510.068630033703,2835
129,7165435.42584252,4572440.95924289,126.539912765879,-3.95420049913488,NA,4344.51238374837,0.000191667029268356,-9.9465554275,-3.35318457651509,-12.5535496063259,-15.0721685347976,6.59337085098491,2.5186189284717,0,7140435.42584252,4597440.95924289,7190435.42584252,4547440.95924289,323.104610268347,1645
228,7215435.42584252,4722440.95924289,253.065853211244,-3.48158289155372,0.958075491885217,4224.52550670959,0.00098398187245283,-6.16973941973175,0.371808853111342,-12.6945820489306,-14.3805088798094,6.54154827284309,1.68592683087876,0,7190435.42584252,4747440.95924289,7240435.42584252,4697440.95924289,346.591686173302,1906
229,7215435.42584252,4672440.95924289,156.652206247284,4.72448108985086,2.34813442797311,2291.70058523278,0.00107082465701753,-7.71205476663435,-1.10403414877298,-12.4461513103609,-14.6329015714941,6.60802061786137,2.18675026113313,0,7190435.42584252,4697440.95924289,7240435.42584252,4647440.95924289,535.275651410633,2880
230,7215435.42584252,4622440.95924289,181.185741112976,-7.04681965089638,2.0089285560769,4038.38925000797,0.000162504450930236,-9.24329586128743,-2.56928018829395,-12.1995043734444,-14.8834820136027,6.67401567299348,2.68397764015826,0,7190435.42584252,4647440.95924289,7240435.42584252,4597440.95924289,772.302984631747,3866
231,7215435.42584252,4572440.95924289,122.083385343603,-4.2115766233019,4.47154842152136,4125.34807147171,0.00103284061943977,-10.357680520766,-3.72174567796048,-12.0616413250852,-15.0165981482695,6.63593484280553,2.95495682318427,0,7190435.42584252,4597440.95924289,7240435.42584252,4547440.95924289,485.395900189565,2009
232,7215435.42584252,4522440.95924289,106.511580232035,-4.20228187817485,NA,4351.17948008507,0.0136177950975959,-10.8530240508889,-4.41089914687113,-12.0858925125041,-14.9746056756646,6.44212490401778,2.88871316316048,0,7190435.42584252,4547440.95924289,7240435.42584252,4497440.95924289,360.784195368502,1861
234,7215435.42584252,4422440.95924289,150.498192650386,-8.16416509614503,1.31391275587312,4159.84305652,0.00110935515767539,-11.8339128846292,-5.77557416790179,-12.1339151826262,-14.891451369664,6.05833871672744,2.75753618703786,0,7190435.42584252,4447440.95924289,7240435.42584252,4397440.95924289,384.993485103065,1833
330,7265435.42584252,4722440.95924289,204.751646674136,0.334264974681057,2.92224822008558,2877.61221132419,0.00106053929790303,-5.91054692752681,0.651178771876221,-12.4929244710921,-14.2497890155404,6.56172569940304,1.75686454444829,0,7240435.42584252,4747440.95924289,7290435.42584252,4697440.95924289,340.823538318945,2118
331,7265435.42584252,4672440.95924289,142.685441395813,8.13658345250523,1.80364432114262,2066.74990293481,0.00353583067257304,-7.39404646020243,-0.755140292267142,-12.1791216292629,-14.4699908828381,6.63890616793529,2.29086925357522,0,7240435.42584252,4697440.95924289,7290435.42584252,4647440.95924289,452.900658534863,2721
332,7265435.42584252,4622440.95924289,106.805885926691,8.06015274757916,1.82108596145783,2154.27586530564,0.000638392297630485,-8.8668940544986,-2.15136159521601,-11.8675719789317,-14.6886116396131,6.71553245928259,2.82103966068138,0,7240435.42584252,4647440.95924289,7290435.42584252,4597440.95924289,764.719620750679,4557
333,7265435.42584252,4572440.95924289,157.397119458543,-8.28849482102481,5.58636850051817,4418.01907824132,0,-9.93663083675096,-3.25278172605023,-11.6822188044071,-14.8043611700951,6.68384911070074,3.12214236568804,0,7240435.42584252,4597440.95924289,7290435.42584252,4547440.95924289,943.593788686911,5318
334,7265435.42584252,4522440.95924289,117.140986114911,-6.88484354119073,1.29510686362876,4826.08655010057,0.000742244240556165,-10.4077097176416,-3.91757854916037,-11.684834454451,-14.7667534891462,6.49013116848123,3.08191903469522,0,7240435.42584252,4547440.95924289,7290435.42584252,4497440.95924289,688.356625411902,3956
