Order,Family,Species,Body_mass_g,Hatchling_mass_g,Clutch_size, Clutches_per_year,Sexual_maturity_age_years,Longevity_years,Parity,Parthenogenetic_reproduction
Crocodilia,Alligatoridae,Alligator_mississippiensis,47800,76.6,35.2,0.35,11.375,73.1,1,0
Crocodilia,Alligatoridae,Alligator_sinensis,14600,48.2,25.7,0.75,5,60.7,1,0
Crocodilia,Alligatoridae,Caiman_crocodilus,10900,62.9,30.2,0.767,8,24.1,1,0
Crocodilia,Alligatoridae,Caiman_latirostris,14600,76.2,31.4,1,4.83,22,1,0
Crocodilia,Alligatoridae,Melanosuchus_niger,82000,143.6,39.3,1,6,15.3,1,0
Crocodilia,Alligatoridae,Paleosuchus_palpebrosus,5900,68.6,13.3,1,10,24.1,1,0
Crocodilia,Alligatoridae,Paleosuchus_trigonatus,7500,67.2,15.1,0.33,10,30.9,1,0
Crocodilia,Crocodylidae,Crocodylus_acutus,78700,112.8,35.6,0.679,8,32.9,1,0
Crocodilia,Crocodylidae,Crocodylus_intermedius,107900,110.4,39.8,0.8,12.5,21.8,1,0
Crocodilia,Crocodylidae,Crocodylus_johnstoni,19500,69.7,12.4,0.9,12,50,1,0
Crocodilia,Crocodylidae,Crocodylus_mindorensis,36900,73.6,18.3,NA,NA,NA,1,0
Crocodilia,Crocodylidae,Crocodylus_moreletii,31700,79.5,30.2,1,7.5,25.4,1,0
Crocodilia,Crocodylidae,Crocodylus_niloticus,94200,107.1,47.6,0.63,6,43.8,1,0
Crocodilia,Crocodylidae,Crocodylus_novaeguineae,39900,88.5,29.4,NA,NA,24.6,1,0
Crocodilia,Crocodylidae,Crocodylus_palustris,42700,99.5,23.4,1,6,31.5,1,0
Crocodilia,Crocodylidae,Crocodylus_porosus,78700,109.2,47.8,1,11,41.7,1,0
Crocodilia,Crocodylidae,Crocodylus_rhombifer,57500,104.3,25.4,1,10,38.2,1,0
Crocodilia,Crocodylidae,Crocodylus_siamensis,42500,106.9,28.4,NA,NA,21.9,1,0
Crocodilia,Crocodylidae,Mecistops_cataphractus,50500,146,19.5,1,12.5,56.1,1,0
Crocodilia,Crocodylidae,Osteolaemus_tetraspis,18800,55,11.15,1,5,70,1,0
Crocodilia,Gavialidae,Gavialis_gangeticus,147000,161.4,38.9,1,8,28.8,1,0
Crocodilia,Gavialidae,Tomistoma_schlegelii,119000,139.9,31.8,2,20,80,1,0
Rhynchocephalia,Sphenodontidae,Sphenodon_punctatus,430,4.63,9.4,0.2,12,91,0,0
Squamata,Acrochordidae,Acrochordus_arafurae,887.38,22.32897321,17,NA,NA,8.8,1,0
Squamata,Acrochordidae,Acrochordus_granulatus,92.67,9.018114549,NA,NA,NA,NA,1,0
Squamata,Acrochordidae,Acrochordus_javanicus,NA,16.59,27,1,NA,5.8,1,0
Squamata,Agamidae,Acanthocercus_atricollis,38.815,0.780447265,11.38666667,1,NA,10.9,0,0
Squamata,Agamidae,Acanthocercus_yemensis,36.18,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Acanthosaura_armata,44.49,0.581575191,12,NA,NA,2.1,0,0
Squamata,Agamidae,Acanthosaura_capra,NA,NA,19.5,NA,NA,NA,0,0
Squamata,Agamidae,Acanthosaura_crucigera,NA,NA,14,NA,NA,2.6,0,0
Squamata,Agamidae,Acanthosaura_lepidogaster,17.27,0.375157038,13,NA,NA,NA,0,0
Squamata,Agamidae,Acanthosaura_nataliae,NA,NA,16,NA,NA,NA,0,0
Squamata,Agamidae,Agama_aculeata,14.5,0.420859804,12.775,2,NA,2.2,0,0
Squamata,Agamidae,Agama_agama,16.6075,0.643418133,8.12,2,1.265,8,0,0
Squamata,Agamidae,Agama_anchietae,NA,NA,11,NA,NA,NA,0,0
Squamata,Agamidae,Agama_armata,NA,NA,14.5,NA,NA,NA,0,0
Squamata,Agamidae,Agama_atra,15.69,0.375157038,12.5,NA,NA,NA,0,0
Squamata,Agamidae,Agama_boueti,16.01,0.553048292,9.3,NA,NA,NA,0,0
Squamata,Agamidae,Agama_caudospinosa,NA,NA,NA,NA,NA,9.6,0,0
Squamata,Agamidae,Agama_etoshae,NA,NA,9.5,NA,NA,2.1,0,0
Squamata,Agamidae,Agama_gracilimembris,3.31,0.407070008,NA,NA,NA,NA,0,0
Squamata,Agamidae,Agama_hartmanni,NA,NA,NA,NA,NA,2.1,0,0
Squamata,Agamidae,Agama_hispida,31.86,NA,13.55,NA,NA,NA,0,0
Squamata,Agamidae,Agama_impalearis,26.77,0.45612378,11.8,2.133333333,1,6,0,0
Squamata,Agamidae,Agama_kirkii,17.63,1.019806052,10,NA,NA,NA,0,0
Squamata,Agamidae,Agama_lionotus,20.68,0.581575191,10.3,NA,NA,4,0,0
Squamata,Agamidae,Agama_lucyae,4.53,0.332559721,NA,NA,NA,NA,NaN,0
Squamata,Agamidae,Agama_mossambica,27.36,0.582362787,NA,NA,NA,NA,0,0
Squamata,Agamidae,Agama_mwanzae,25.89,0.710073611,NA,NA,NA,4,0,0
Squamata,Agamidae,Agama_planiceps,16.155,0.99,6.5,2,NA,5.9,0,0
Squamata,Agamidae,Agama_rueppelli,26.8,0.168346284,NA,NA,NA,3.2,0,0
Squamata,Agamidae,Agama_sylvana,14.29,0.824974642,NA,NA,NA,NA,0,0
Squamata,Agamidae,Amphibolurus_muricatus,17.45,0.643281407,5.6,2.5,0.9,4,0,0
Squamata,Agamidae,Amphibolurus_norrisi,18.75,0.642734506,4.8,1.5,1,7,0,0
Squamata,Agamidae,Aphaniotis_acutirostris,2.85,0.257388797,2,3.5,NA,NA,0,0
Squamata,Agamidae,Aphaniotis_fusca,4.42,0.257388797,2,NA,NA,NA,0,0
Squamata,Agamidae,Bronchocela_cristatella,18.32,0.998199366,2,NA,NA,NA,0,0
Squamata,Agamidae,Calotes_bachae,14.82,0.445727437,NA,NA,NA,NA,NaN,0
Squamata,Agamidae,Calotes_calotes,26.76,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Calotes_chincollium,30.95,0.840158102,NA,NA,NA,NA,0,0
Squamata,Agamidae,Calotes_emma,22.17,0.710110417,7.5,NA,NA,0.7,0,0
Squamata,Agamidae,Calotes_liocephalus,13.95,0.375157039,NA,NA,NA,NA,0,0
Squamata,Agamidae,Calotes_liolepis,7.36,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Calotes_mystaceus,26.15666667,0.322757806,7,1,NA,NA,0,0
Squamata,Agamidae,Calotes_nemoricola,18.58,0.341583389,13.5,1,NA,NA,0,0
Squamata,Agamidae,Calotes_nigrilabris,10.93666667,0.582362787,3,1,NA,NA,0,0
Squamata,Agamidae,Calotes_rouxii,6.27,0.26961596,NA,NA,NA,NA,0,0
Squamata,Agamidae,Calotes_versicolor,23.8,0.244977718,14.61,2.25,0.86,5,0,0
Squamata,Agamidae,Ceratophora_aspera,0.72,0.06640706,2,NA,NA,NA,0,0
Squamata,Agamidae,Ceratophora_tennentii,7.575,0.23730788,NA,NA,NA,NA,0,0
Squamata,Agamidae,Chelosania_brunnea,18.53,1.019806052,NA,NA,NA,NA,0,0
Squamata,Agamidae,Chlamydosaurus_kingii,635,2.133904138,12,1.633333333,2.5,15,0,0
Squamata,Agamidae,Cophotis_ceylanica,5.04,0.111136298,5,NA,NA,NA,1,0
Squamata,Agamidae,Ctenophorus_adelaidensis,2,0.194616605,NA,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_caudicinctus,10.04,0.257388798,5.36,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_clayi,3.58,0.293352061,2.714,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_cristatus,19.68,0.817452812,NA,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_decresii,8.41,0.611805197,4.8,NA,NA,9,0,0
Squamata,Agamidae,Ctenophorus_fionni,11.6,0.669988436,3.6,1.275,NA,10,0,0
Squamata,Agamidae,Ctenophorus_fordi,4.74,0.290403204,2.295,2.333333333,0.8,2,0,0
Squamata,Agamidae,Ctenophorus_isolepis,6.784,0.402213519,3.666666667,2.333333333,0.6,2,0,0
Squamata,Agamidae,Ctenophorus_maculatus,3.62,0.471103825,NA,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_maculosus,8.8,0.427578245,3.2,1.9,0.8,3.5,0,0
Squamata,Agamidae,Ctenophorus_mckenziei,9.02,0.676563138,NA,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_nguyarna,NA,NA,2.5,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_nuchalis,18.575,0.834121188,3.728333333,2.466666667,0.9,11,0,0
Squamata,Agamidae,Ctenophorus_ornatus,11.935,0.877217632,3.316666667,2.133333333,1.9,11,0,0
Squamata,Agamidae,Ctenophorus_parviceps,1.96,0.257388797,NA,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_pictus,8,0.96,3.2,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_reticulatus,14.77,0.421289707,4,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_salinarum,NA,NA,3.5,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_scutulatus,35.178,0.644101759,6.83,NA,NA,NA,0,0
Squamata,Agamidae,Ctenophorus_vadnappa,10.49,0.411773337,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_albilabris,3.63,0.421289706,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_amphiboluroides,8.8,2.02451992,12,1,NA,NA,0,0
Squamata,Agamidae,Diporiphora_arnhemica,3.22,0.421289706,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_australis,3.67,0.375157038,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_bennettii,3.27,0.257388797,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_bilineata,3.65,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_lalliae,3.43,0.935235751,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_magna,4.69,0.375157038,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_nobbi,6.385,0.423720112,6,1.5,NA,3.2,0,0
Squamata,Agamidae,Diporiphora_pindan,4.21,0.644101759,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_reginae,6.06,0.524745892,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_superba,10.76,0.375157038,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_valens,7.87,0.257388797,NA,NA,NA,NA,0,0
Squamata,Agamidae,Diporiphora_winneckei,4.267,0.193462455,3.5,5,1,6,0,0
Squamata,Agamidae,Draco_beccarii,8.28,0.582362787,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_biaro,4.2,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_bimaculatus,3.9,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_blanfordii,15,NA,3.5,NA,NA,NA,0,0
Squamata,Agamidae,Draco_boschmai,10.09,0.644101759,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_bourouniensis,11.82,2.798561294,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_caerulhians,6.4,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_cornutus,8,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_cyanopterus,12.6,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_fimbriatus,18.7,NA,2.5,NA,NA,NA,0,0
Squamata,Agamidae,Draco_guentheri,4.4,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_haematopogon,5.7,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_lineatus,6,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_maculatus,6.6,0.257388797,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_maximus,32.8,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_melanopogon,5.3,NA,1.935,NA,NA,NA,0,0
Squamata,Agamidae,Draco_mindanensis,7.3,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_modiglianii,5.13,1.304192017,2,NA,NA,NA,0,0
Squamata,Agamidae,Draco_obscurus,9.3,NA,3,NA,NA,NA,0,0
Squamata,Agamidae,Draco_ornatus,8.2,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_palawanensis,6.9,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_quadrasi,3.5,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_quinquefasciatus,11.6,0.603494993,3.35,NA,NA,NA,0,0
Squamata,Agamidae,Draco_reticulatus,10.2,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_spilonotus,7.43,0.644101759,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_spilopterus,10.6,0.524745892,NA,NA,NA,NA,0,0
Squamata,Agamidae,Draco_taeniopterus,4.8,NA,3,NA,NA,NA,0,0
Squamata,Agamidae,Draco_volans,5.4,0.330425034,4.333333333,1.166666667,0.7,3,0,0
Squamata,Agamidae,Gonocephalus_bellii,34.9,0.332559721,4,4.95,NA,NA,0,0
Squamata,Agamidae,Gonocephalus_bornensis,31.56,1.019806052,4,3.5,NA,NA,0,0
Squamata,Agamidae,Gonocephalus_chamaeleontinus,41.98666667,0.582362787,5,4,NA,NA,0,0
Squamata,Agamidae,Gonocephalus_grandis,48.38,0.817452812,3.5,6.65,NA,NA,0,0
Squamata,Agamidae,Gonocephalus_kuhlii,71.45,0.582362787,NA,NA,NA,NA,0,0
Squamata,Agamidae,Gonocephalus_liogaster,34.29,0.817452811,NA,NA,NA,NA,0,0
Squamata,Agamidae,Gonocephalus_sophiae,26.57,0.817452812,NA,NA,NA,NA,0,0
Squamata,Agamidae,Harpesaurus_borneensis,4.42,0.375157038,2,NA,NA,NA,0,0
Squamata,Agamidae,Hydrosaurus_amboinensis,NA,NA,7.5,6,NA,24.4,0,0
Squamata,Agamidae,Hydrosaurus_pustulatus,557.34,14,7.5,3.5,NA,15.2,0,0
Squamata,Agamidae,Hydrosaurus_weberi,NA,NA,NA,NA,NA,8.8,0,0
Squamata,Agamidae,Hypsilurus_boydii,96.98,1.302794678,3,1.5,2,10,0,0
Squamata,Agamidae,Hypsilurus_capreolatus,31.13,2.478827333,NA,NA,NA,NA,NaN,0
Squamata,Agamidae,Hypsilurus_modestus,NA,NA,1,NA,NA,NA,0,0
Squamata,Agamidae,Hypsilurus_spinipes,39.43,0.677185059,5,1.5,2,10,0,0
Squamata,Agamidae,Intellagama_lesueurii,213.67,2.471372431,12,1.436666667,3,28,0,0
Squamata,Agamidae,Japalura_brevipes,NA,NA,5.35,NA,NA,NA,0,0
Squamata,Agamidae,Japalura_kumaonensis,5.125,0.128305376,11.5,1.45,NA,NA,0,0
Squamata,Agamidae,Japalura_luei,NA,NA,5.5,NA,NA,NA,0,0
Squamata,Agamidae,Japalura_makii,NA,NA,6.3,NA,NA,NA,0,0
Squamata,Agamidae,Japalura_micangshanensis,7.87,0.710110417,3,NA,NA,NA,0,0
Squamata,Agamidae,Japalura_polygonata,4.24,NA,3.4,1,NA,NA,0,0
Squamata,Agamidae,Japalura_splendida,8.74,0.349183739,NA,NA,NA,NA,0,0
Squamata,Agamidae,Japalura_swinhonis,11.2,0.18784231,4.073333333,2.3,NA,NA,0,0
Squamata,Agamidae,Laudakia_nupta,64.79,1.889570113,10,2,NA,8.9,0,0
Squamata,Agamidae,Laudakia_sacra,35.67,6.660565029,NA,NA,NA,NA,0,0
Squamata,Agamidae,Laudakia_tuberculata,34.15,0.498291463,9.4,NA,NA,7.4,0,0
Squamata,Agamidae,Leiolepis_belliana,49.99,1.638493617,6,NA,NA,5.6,0,0
Squamata,Agamidae,Leiolepis_guttata,NA,NA,5,NA,NA,13,0,0
Squamata,Agamidae,Leiolepis_peguensis,64.79,9.689081875,NA,NA,NA,NA,0,0
Squamata,Agamidae,Leiolepis_reevesii,18.6,1.218800794,3.7,1.5,NA,NA,0,0
Squamata,Agamidae,Lophognathus_gilberti,13.365,0.471103823,NA,NA,NA,NA,0,0
Squamata,Agamidae,Lophognathus_longirostris,22.63,0.451748702,4.57,2,NA,NA,0,0
Squamata,Agamidae,Lophognathus_temporalis,38.1,1.109389109,4.75,NA,NA,NA,0,0
Squamata,Agamidae,Lyriocephalus_scutatus,52.43,2.312643091,3.7,NA,NA,3.5,0,0
Squamata,Agamidae,Moloch_horridus,49.04,0.856274128,7.13,1,2,13.8,0,0
Squamata,Agamidae,Otocryptis_wiegmanni,3.37,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Paralaudakia_caucasia,34.285,1.216541794,8.75,1.466666667,2,13,0,0
Squamata,Agamidae,Paralaudakia_lehmanni,23.55,1.081319307,10,2,0.8,4,0,0
Squamata,Agamidae,Paralaudakia_microlepis,55.27,1.409711859,NA,NA,NA,NA,0,0
Squamata,Agamidae,Paralaudakia_stoliczkana,48.65,4.652679903,NA,NA,3,10,0,0
Squamata,Agamidae,Phoxophrys_borneensis,NA,NA,2,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_arabicus,NA,NA,3.5,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_axillaris,2.82,0.725,NA,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_forsythii,3,0.58,NA,NA,NA,NA,1,0
Squamata,Agamidae,Phrynocephalus_guttatus,4.1,0.276826549,2.85,2.3,1.15,5,0,0
Squamata,Agamidae,Phrynocephalus_helioscopus,6.9,0.1953909,6,2.45,1.5,NA,0,0
Squamata,Agamidae,Phrynocephalus_interscapularis,1,NA,NA,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_luteoguttatus,1.46,0.293352062,NA,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_mystaceus,8.5925,0.58196899,5,1.466666667,2,3.8,0,0
Squamata,Agamidae,Phrynocephalus_persicus,2.11,0.258041599,4.5,2.5,0.9,5,0,0
Squamata,Agamidae,Phrynocephalus_przewalskii,5.4,0.486787835,NA,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_raddei,2.71,0.293352061,NA,NA,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_theobaldi,2.8525,0.344007341,2.1,1,1.3,8,1,0
Squamata,Agamidae,Phrynocephalus_versicolor,3.756666667,0.258282252,2.5,1.75,NA,NA,0,0
Squamata,Agamidae,Phrynocephalus_vlangalii,8.1,0.308637673,NA,NA,NA,NA,1,0
Squamata,Agamidae,Physignathus_cocincinus,288,1.875114151,10.5,1.45,3.25,18,0,0
Squamata,Agamidae,Pogona_barbata,107.7275,0.918741065,16.8,2.133333333,2,13,0,0
Squamata,Agamidae,Pogona_henrylawsoni,43.72,0.817452812,NA,NA,NA,NA,0,0
Squamata,Agamidae,Pogona_minima,33.02,1.304192018,NA,NA,NA,NA,0,0
Squamata,Agamidae,Pogona_minor,54.11,1.109309432,7.041666667,2,2,6,0,0
Squamata,Agamidae,Pogona_mitchelli,34.29,1.109389109,NA,NA,NA,NA,NaN,0
Squamata,Agamidae,Pogona_nullarbor,56.96,0.855528954,NA,NA,NA,NA,0,0
Squamata,Agamidae,Pogona_vitticeps,500,1.388388645,20.8,3.5,2,12,0,0
Squamata,Agamidae,Psammophilus_dorsalis,NA,NA,7.5,2,NA,4,0,0
Squamata,Agamidae,Pseudocalotes_cybelidermus,8.99,0.332559721,NA,NA,NA,NA,NaN,0
Squamata,Agamidae,Pseudocalotes_kingdonwardi,24.69,1.409711859,NA,NA,NA,NA,0,0
Squamata,Agamidae,Pseudocalotes_tympanistriga,NA,NA,2,NA,NA,NA,0,0
Squamata,Agamidae,Pseudotrapelus_sinaitus,12.21,0.581772091,5.3,1,1,6.2,0,0
Squamata,Agamidae,Ptyctolaemus_collicristatus,10.22,2.313964636,NA,NA,NA,NA,0,0
Squamata,Agamidae,Ptyctolaemus_gularis,NA,NA,10,NA,NA,NA,0,0
Squamata,Agamidae,Rankinia_diemensis,10,0.331706481,5.4,1.5,NA,10,0,0
Squamata,Agamidae,Saara_asmussi,NA,NA,NA,NA,NA,7.5,0,0
Squamata,Agamidae,Saara_loricata,256.46,4.186040553,NA,NA,NA,NA,0,0
Squamata,Agamidae,Sitana_fusca,2.44,0.06920356,7.2,2,NA,NA,0,0
Squamata,Agamidae,Sitana_ponticeriana,3.2,0.074347653,13.26666667,2.466666667,0.9,6,0,0
Squamata,Agamidae,Sitana_sivalensis,1.973333333,0.055982392,6.88,2.45,NA,NA,0,0
Squamata,Agamidae,Stellagama_stellio,42.65795188,0.710092015,8.866666667,2.25,2,10.4,0,0
Squamata,Agamidae,Trapelus_agilis,30.4,0.523559419,8,NA,1.5,3.1,0,0
Squamata,Agamidae,Trapelus_agnetae,9.41,0.733334826,10,1.5,NA,2.6,0,0
Squamata,Agamidae,Trapelus_flavimaculatus,NA,NA,5,NA,NA,NA,0,0
Squamata,Agamidae,Trapelus_megalonyx,7.2,1.019806052,NA,NA,NA,NA,0,0
Squamata,Agamidae,Trapelus_mutabilis,15,0.58196899,8.5,1.833333333,NA,4.8,0,0
Squamata,Agamidae,Trapelus_rubrigularis,8.4,0.780536717,NA,NA,NA,NA,0,0
Squamata,Agamidae,Trapelus_ruderatus,9.82,0.421289707,8,2.45,NA,NA,0,0
Squamata,Agamidae,Trapelus_sanguinolentus,20.2,0.52395491,9,2.933333333,2,8.1,0,0
Squamata,Agamidae,Trapelus_savignii,33,0.643076319,4,1,NA,5.4,0,0
Squamata,Agamidae,Tympanocryptis_centralis,3.48,0.207043553,7,NA,0.9,6,0,0
Squamata,Agamidae,Tympanocryptis_cephalus,3.71,0.2245251,NA,NA,NA,NA,0,0
Squamata,Agamidae,Tympanocryptis_intima,3.78,0.143090175,NA,NA,NA,NA,0,0
Squamata,Agamidae,Tympanocryptis_lineata,9.7,0.2245251,NA,NA,NA,NA,0,0
Squamata,Agamidae,Tympanocryptis_tetraporophora,6.1,0.154980251,NA,NA,NA,NA,0,0
Squamata,Agamidae,Uromastyx_acanthinura,250.395,2.798801078,13,1.29875,4.5,26,0,0
Squamata,Agamidae,Uromastyx_aegyptia,851.5,4.65334988,22,0.891666667,5,33,0,0
Squamata,Agamidae,Uromastyx_benti,118.11,2.239432427,8.5,1,NA,8,0,0
Squamata,Agamidae,Uromastyx_dispar,NA,NA,17,1,NA,17,0,0
Squamata,Agamidae,Uromastyx_ocellata,64.07,5.6,12,1,NA,16,0,0
Squamata,Agamidae,Uromastyx_ornata,132.1,2.966315636,11.25,1,2,18,0,0
Squamata,Agamidae,Uromastyx_thomasi,155,2.524354701,NA,NA,NA,NA,0,0
Squamata,Agamidae,Xenagama_batillifera,19.86,0.349183739,NA,NA,NA,NA,0,0
Squamata,Agamidae,Xenagama_taylori,9.77,0.370740623,NA,NA,NA,NA,0,0
Squamata,Alsodidae,Alsophis_rufiventris,NA,NA,NA,NA,NA,NA,0,0
Squamata,Alsodidae,Borikenophis_portoricensis,64,NA,NA,NA,NA,2,0,0
Squamata,Amphisbaenidae,Amphisbaena_alba,210,1.530574402,6.5,1,NA,15.2,0,0
Squamata,Amphisbaenidae,Amphisbaena_bassleri,28.52,0.283077611,NA,NA,NA,NA,NaN,0
Squamata,Amphisbaenidae,Amphisbaena_cunhai,3.62,0.283077611,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_darwini,NA,NA,NA,NA,NA,0.2,0,0
Squamata,Amphisbaenidae,Amphisbaena_fuliginosa,66.44,0.283077611,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_ibijara,3.74,0.070803084,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_infraorbitale,125,10.75,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_kingii,3.86,0.121389643,3,1,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_mertensii,42.47,0.305309838,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_microcephalum,58.7,0.516468504,5,NA,NA,0.2,0,0
Squamata,Amphisbaenidae,Amphisbaena_occidentalis,3.42,0.110343287,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Amphisbaena_roberti,6.5,NA,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Chirindia_langi,0.7,0.079585027,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Dalophia_pistillum,51.63,1.181946108,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Monopeltis_anchietae,9.51,0.152633455,NA,NA,NA,NA,1,0
Squamata,Amphisbaenidae,Monopeltis_capensis,NA,0.08,2,NA,NA,1.8,1,0
Squamata,Amphisbaenidae,Zygaspis_nigra,4.13,0.121389643,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Zygaspis_quadrifrons,1.86,0.030064368,NA,NA,NA,NA,0,0
Squamata,Amphisbaenidae,Zygaspis_violacea,1.73,0.152633455,NA,NA,NA,NA,0,0
Squamata,Anguidae,Abronia_aurita,22.53,0.330695672,NA,NA,NA,NA,1,0
Squamata,Anguidae,Abronia_fimbriata,16.5,0.297113185,NA,NA,NA,NA,1,0
Squamata,Anguidae,Abronia_graminea,NA,NA,4,NA,NA,2.5,1,0
Squamata,Anguidae,Abronia_meledona,20.15,0.210933244,12,NA,NA,NA,1,0
Squamata,Anguidae,Abronia_mixteca,NA,NA,7,NA,NA,4.6,1,0
Squamata,Anguidae,Abronia_ochoterenai,20.98,0.237346027,NA,NA,NA,NA,1,0
Squamata,Anguidae,Abronia_taeniata,12.87,0.26603495,NA,NA,NA,NA,1,0
Squamata,Anguidae,Anguis_cephallonica,4.4,1.088242021,10.5,1,NA,NA,1,0
Squamata,Anguidae,Anguis_fragilis,14,0.394245423,9.266666667,0.8125,3.5,54,1,0
Squamata,Anguidae,Barisia_herrerae,20.32,1.683304625,6,1,NA,NA,1,0
Squamata,Anguidae,Barisia_imbricata,31.8,1.101243711,7.3,1,NA,NA,1,0
Squamata,Anguidae,Barisia_rudicollis,NA,NA,5,NA,NA,NA,1,0
Squamata,Anguidae,Dopasia_gracilis,11.07,0.374059902,5.5,1,NA,NA,0,0
Squamata,Anguidae,Dopasia_harti,14.05,1.565928255,NA,NA,NA,NA,0,0
Squamata,Anguidae,Elgaria_coerulea,13.8875,1.007133109,5.222222222,1,3.2,8,1,0
Squamata,Anguidae,Elgaria_kingii,10,NA,12,1,NA,15,0,0
Squamata,Anguidae,Elgaria_multicarinata,31.6,1.048121304,11.2,1.733333333,1.5,15,0,0
Squamata,Anguidae,Elgaria_panamintina,20.31,NA,NA,NA,NA,NA,0,0
Squamata,Anguidae,Elgaria_paucicarinata,11.28,0.645905183,NA,NA,NA,NA,0,0
Squamata,Anguidae,Gerrhonotus_infernalis,36.02333333,1.596314312,18,1,NA,NA,0,0
Squamata,Anguidae,Gerrhonotus_liocephalus,NA,NA,NA,NA,NA,3.5,0,0
Squamata,Anguidae,Gerrhonotus_parvus,NA,NA,4,NA,NA,6,0,0
Squamata,Anguidae,Mesaspis_gadovii,11.21666667,1.246461019,7.275,1,NA,NA,1,0
Squamata,Anguidae,Mesaspis_juarezi,7.84,0.987035746,3,1,NA,NA,1,0
Squamata,Anguidae,Mesaspis_monticola,8.0325,0.769305715,4.4,0.5,NA,NA,1,0
Squamata,Anguidae,Mesaspis_moreletii,NA,NA,6,NA,NA,2.8,1,0
Squamata,Anguidae,Ophiodes_striatus,26.03,0.576318622,5.6,1,NA,NA,1,0
Squamata,Anguidae,Ophisaurus_attenuatus,29,0.651147553,9.7,1,1.666666667,4,0,0
