class,family,iucn2020_binomial,min_clutch_size_from_Feiliang,max_clutch_size_from_Feiliang,earliest_breeding_month_from_Feiliang,latest_breeding_month_from_Feiliang
Anuran,Microhylidae,Microhyla butleri,931,931,5,6
Anuran,Microhylidae,Microhyla fissipes,243,453,3,8
Anuran,Microhylidae,Microhyla heymonsi,106,459,5,6
Anuran,Microhylidae,Microhyla mixtura,400,657,5,6
Anuran,Microhylidae,Microhyla pulchra,968,1741,3,7
Anuran,Microhylidae,Microhyla beilunensis,,,,
Anuran,Microhylidae,Microhyla mukhlesuri,,,,
Anuran,Microhylidae,Microhyla fanjingshanensis,,,,
Anuran,Microhylidae,Micryletta inornata,,,5,5
Anuran,Microhylidae,Micryletta steinegeri,200,350,,
