Species,Body_size_mm,Body_size_mm_male,Body_size_mm_female,Egg_size,Litter_size_min_n,Litter_size_max_n,Development_mode,Breeding_site,Adult_microhabitat,Primary_larval_habitat,Reproductive_cycle,Parent_care,Fertilization_type,Habitat_specificity,iucn2020_binomial
Cynops wolterstorffi,63.2,,,1.75,442,442,1,1,1,1,0,0,0,2,Cynops wolterstorffi
Duttaphrynus cyphosus,85.3,66,84,,,,1,1,3,1,0,0,1,2,Duttaphrynus stuarti
Duttaphrynus himalayanus,91.8,76.5,103.5,1.4,,,1,1,2,1,0,0,1,4,Duttaphrynus himalayanus
Duttaphrynus melanostictus,90.9,76.5,103.5,1.4,4500,4500,1,1,3,1,1,0,1,6,Duttaphrynus melanostictus
Echinotriton andersoni,74.5,,,3.1,,,0,2,3,1,0,0,0,3,Echinotriton andersoni
Echinotriton chinhaiensis,74.5,66.7,82.3,3.3,72,92,0,3,3,1,0,0,0,3,Echinotriton chinhaiensis
Feihyla fuhua,26.5,,,1.65,50,50,0,4,4,1,0,0,1,2,Feihyla fuhua
Feihyla vittata,25.3,24.5,25.5,1.5,,,0,4,4,1,1,0,1,5,Rohanixalus vittatus
Fejervarya cancrivora,68.9,61.5,79.5,1.6,1600,1600,1,1,1,2,0,0,1,7,Fejervarya cancrivora
Fejervarya multistriata,43.1,40,46,1,370,2085,1,1,2,1,1,0,1,2,Fejervarya multistriata
Glandirana emeljanovi,48.9,43,54,1.65,1130,1130,1,1,1,1,0,0,1,4,Glandirana emeljanovi
Glandirana minima,27.8,27,29,1.25,221,318,1,1,2,1,0,0,1,2,Glandirana minima
Glandirana tientaiensis,47.55,44,51,1.1,1350,1350,1,1,2,1,0,0,1,2,Glandirana tientaiensis
Glyphoglossus yunnanensis,38.5,33,44.5,1.75,,,1,1,1,1,0,0,1,5,Glyphoglossus yunnanensis
Gracixalus gracilipes,25.75,22,30,2.65,20,20,0,4,4,1,0,0,1,2,Gracixalus gracilipes
Gracixalus jinxiuensis,26.45,24,29.5,,,,1,1,4,1,0,0,1,2,Gracixalus jinxiuensis
Hoplobatrachus rugulosus,94.25,72,104,1.8,763,2030,1,1,1,1,1,0,1,3,Hoplobatrachus rugulosus
Hyla annectans,36.6,33.5,38.5,1,,,1,1,2,1,0,0,1,6,Hyla annectans
Hyla chinensis,32.65,31.5,33.5,1.25,236,682,1,1,3,1,0,0,1,4,Hyla chinensis
Hyla immaculata,34.85,31,38.5,1.2,220,220,1,1,3,2,0,0,1,6,Dryophytes immaculatus
Hyla japonica,37.85,36,41,1.4,165,1500,1,1,2,1,0,0,1,7,Dryophytes japonicus
Hyla sanchiangensis,34,33,35.5,1.2,,,1,1,2,2,0,0,1,3,Hyla sanchiangensis
Hyla simplex,38.05,35.5,40,,,,1,1,3,1,1,0,1,5,Hyla simplex
Hyla tsinlingensis,42.3,41,44.5,1.3,1150,1150,1,1,3,1,0,0,1,3,Hyla tsinlingensis
Hyla zhaopingensis,32.15,30,35,,,,1,1,3,1,0,0,1,4,Hyla zhaopingensis
Hylarana latouchii,42.35,38,47,1.4,165,1126,1,1,2,1,0,0,1,3,Hylarana latouchii
Hylarana macrodactyla,33.9,28,40,1.3,300,300,1,1,2,1,1,0,1,5,Hylarana macrodactyla
Hylarana taipehensis,34,29,39,1.2,189,200,1,1,2,1,1,0,1,6,Hylarana taipehensis
Hynobius amjiensis,84.05,,,3.5,96,151,1,1,2,1,1,1,1,1,Hynobius amjiensis
Hynobius arisanensis,54.5,54.3,55.2,,,,1,1,2,1,1,0,1,2,Hynobius arisanensis
Hynobius chinensis,46.45,,,,80,96,1,1,2,1,0,0,1,3,Hynobius chinensis
Hynobius formosanus,53.25,53,52.4,4.3,26,26,1,1,1,2,0,1,1,2,Hynobius formosanus
Hynobius fucus,55,50.9,52.8,,4,15,1,1,2,2,0,1,1,1,Hynobius fucus
Hynobius glacialis,77.5,63.1,58.9,,,,1,1,2,2,0,1,1,2,Hynobius glacialis
Hynobius guabangshanensis,84.4,,,2.7,130,165,1,1,2,1,0,1,1,3,Hynobius guabangshanensis
Hynobius leechii,57.5,61.6,66.5,3.5,56,106,1,1,2,1,0,0,1,2,Hynobius leechii
Hynobius maoershanensis,80.9,86.1,80.1,,74,90,1,1,2,1,1,1,1,2,Hynobius maoershanensis
Hynobius sonani,60.5,56.8,58.4,,32,32,1,1,2,2,0,1,1,2,Hynobius sonani
Hynobius yiwuensis,61.85,63.8,59.8,2.75,170,192,1,1,2,1,1,0,1,3,Hynobius yiwuensis
Ichthyophis bannanicus,345.4,313,378,7,30,62,0,3,2,1,0,1,0,4,Ichthyophis bannanicus
Indosylvirana milleti,40.4,37.01,45.26,,,,1,1,1,1,0,0,1,3,Papurana milleti
Ingerana borealis,23.8,22,25.6,,,,1,1,2,2,0,0,1,3,Ingerana borealis
Ingerophrynus ledongensis,55.15,51,60.75,,,,1,1,3,1,0,0,1,2,Ingerophrynus ledongensis
Kalophrynus interlineatus,37,35,40,1,,,1,1,3,1,1,0,1,5,Kalophrynus interlineatus
Kalophrynus menglienicus,21.2,,,,,,1,1,3,1,0,0,1,3,Kalophrynus menglienicus
Kaloula borealis,42.85,51.2,48.8,1.5,400,800,1,1,2,1,0,0,1,4,Kaloula borealis
Kaloula pulchra,66.8,66,66,1.3,4126,4126,1,1,3,1,0,0,1,6,Kaloula pulchra
Kaloula rugifera,43.75,39.5,49,1.25,1663,3277,1,1,3,1,0,0,1,3,Kaloula rugifera
Kaloula verrucosa,45.65,43.5,49,1.25,,,1,1,3,1,0,0,1,3,Kaloula verrucosa
Kurixalus eiffingeri,32.9,29.5,34.5,1.85,33,129,0,4,4,1,1,1,1,1,Kurixalus eiffingeri
Kurixalus idiootocus,31.75,28.5,35,2,200,200,0,3,4,1,1,0,1,4,Kurixalus idiootocus
Kurixalus odontotarsus,37.55,32,43,,,,0,1,4,2,0,0,1,3,Kurixalus odontotarsus
Leptobrachella alpina,28.7,25,32,,,,1,1,2,2,0,0,1,2,Leptobrachella alpina
Leptobrachella liui,25.95,26,25.5,,,,1,1,2,2,0,0,1,2,Leptobrachella liui
Leptobrachella oshanensis,29.95,29,32,,,,1,1,2,2,0,0,1,2,Leptobrachella oshanensis
Leptobrachella pelodytoides,40.1,34.5,46,2,144,144,1,1,2,2,0,0,1,3,Leptobrachella pelodytoides
Leptobrachella sungi,53.4,50.5,58,,,,1,1,2,2,0,0,1,2,Leptobrachella sungi
Leptobrachella ventripunctata,28.05,27,,,,,1,1,2,2,0,0,1,2,Leptobrachella ventripunctata
Leptobrachium ailaonicum,75.65,78.5,72,3.5,230,256,1,1,3,2,0,1,1,2,Leptobrachium ailaonicum
Leptobrachium boringii,71.75,78.5,67.5,3,250,340,1,1,2,2,0,0,1,3,Leptobrachium boringii
Leptobrachium chapaense,54.4,49,,,,,1,1,2,2,0,0,1,2,Leptobrachium chapaense
Leptobrachium guangxiense,59.75,56,64,2.6,,,1,1,2,2,0,0,1,2,Leptobrachium guangxiense
Leptobrachium hainanense,62.1,52.5,,,,,1,1,2,2,0,0,1,2,Leptobrachium hainanense
Leptobrachium huashen,54.7,49,60,,,,1,1,2,2,0,0,1,2,Leptobrachium huashen
Leptobrachium leishanense,74.3,82.5,70,3.9,212,341,1,1,2,2,0,0,1,2,Leptobrachium leishanense
Leptobrachium liui,74.05,81.5,69,3.4,268,402,0,1,2,2,0,1,1,2,Leptobrachium liui
Leptobrachium promustache,58.9,57,60.5,,,,1,1,2,2,0,0,1,1,Leptobrachium promustache
Limnonectes bannaensis,67.85,78,61.5,2,,,1,1,2,2,1,0,1,1,Limnonectes bannaensis
Limnonectes fragilis,49.8,52.5,51.5,2,,,1,1,2,2,1,0,1,2,Limnonectes fragilis
Limnonectes fujianensis,50.7,54,49,2.2,32,73,1,1,2,1,1,0,1,3,Limnonectes fujianensis
Limnonectes liui,33.95,35.5,33,3.4,39,39,1,1,1,2,0,0,1,2,Limnonectes liui
Liua shihi,80.6,76.4,71.1,7,12,42,1,1,1,2,0,0,1,2,Liua shihi
Liua tsinpaensis,66.05,66.1,66,5,13,20,1,1,2,2,0,0,1,2,Liua tsinpaensis
Liuixalus ocellatus,18.4,18,19,,,,1,4,4,1,0,0,1,1,Liuixalus ocellatus
Liuixalus romeri,19.1,16.5,20,,120,120,1,1,2,1,1,0,1,4,Liuixalus romeri
Microhyla berdmorei,33.45,31.5,37,1,,,1,1,3,1,1,0,1,6,Microhyla berdmorei
Microhyla butleri,22.65,22.5,23,1,931,931,1,1,2,1,0,0,1,4,Microhyla butleri
Microhyla fissipes,22.75,23,23,0.9,243,453,1,1,3,1,1,0,1,7,Microhyla fissipes
Microhyla heymonsi,21.2,19.5,23,1.2,106,459,1,1,2,1,1,0,1,6,Microhyla heymonsi
Microhyla mixtura,23.5,22.5,25.5,1,400,657,1,1,2,1,1,0,1,3,Microhyla mixtura
Microhyla pulchra,31.55,27.5,32.5,1.1,968,1741,1,1,2,1,1,0,1,7,Microhyla pulchra
Micryletta inornata,23.35,22,25,1,,,1,1,2,1,1,0,1,6,Micryletta inornata
Micryletta steinegeri,23.5,22,25,1.1,200,350,1,1,3,1,1,0,1,4,Micryletta steinegeri
Nanorana blanfordii,46.2,43,47.5,3,86,86,1,1,2,2,0,0,1,3,Nanorana blanfordii
Nanorana chayuensis,66.75,59,75,2.5,585,585,1,1,2,2,0,0,1,1,Nanorana chayuensis
Nanorana conaensis,56.6,56.5,57,3.25,,,1,1,2,2,1,0,1,3,Nanorana conaensis
Nanorana kangxianensis,74.8,71.65,77.85,3,782,782,1,1,2,2,0,0,1,3,Nanorana kangxianensis
Nanorana liebigii,90.5,85,104,3,104,104,1,1,2,2,0,0,1,2,Nanorana liebigii
Nanorana maculosa,84.75,88,81.5,3.5,,,1,1,2,2,0,0,1,2,Nanorana maculosa
Nanorana medogensis,78.55,70.5,92.5,,,,1,1,2,2,0,0,1,2,Nanorana medogensis
Nanorana parkeri,47.1,45.5,48.5,2,103,399,1,1,2,1,0,0,1,4,Nanorana parkeri
Nanorana phrynoides,89.85,89,83,,,,1,1,1,1,1,0,1,4,Nanorana phrynoides
Nanorana pleskei,34.05,31.5,37,1.9,50,50,1,1,1,1,1,0,1,2,Nanorana pleskei
Nanorana polunini,40.5,35.5,44.5,4,94,94,1,1,2,2,0,0,1,2,Nanorana polunini
Nanorana quadranus,85.75,84,91,3.5,,,1,1,2,2,0,0,1,3,Nanorana quadranus
Nanorana sichuanensis,98.5,103,104,4,633,633,1,1,2,2,0,0,1,3,Nanorana liui
Nanorana taihangnica,73.85,67,83.5,3.5,600,600,1,1,2,2,0,0,1,2,Nanorana taihangnica
Nanorana unculuanus,77.35,74,77.5,4,87,116,1,1,2,2,1,0,1,4,Nanorana unculuanus
Nanorana ventripunctata,46.75,45.5,48.5,2,290,290,1,1,1,1,1,0,1,2,Nanorana ventripunctata
Nanorana yunnanensis,69.2,110,109,4,810,810,1,1,2,2,0,0,1,1,Nanorana yunnanensis
Occidozyga lima,25.9,21.5,31,1,700,700,1,1,1,1,1,0,1,4,Occidozyga lima
Occidozyga martensii,22.85,20.5,25.5,1.2,215,288,1,1,1,1,1,0,1,3,Occidozyga martensii
Odorrana andersonii,85.45,71,100,3.5,1444,1444,1,1,1,2,0,0,1,3,Odorrana andersonii
Odorrana anlungensis,50.35,36,64,1.5,361,361,1,1,2,2,0,0,1,2,Odorrana anlungensis
Odorrana chapaensis,86.65,81,92,,,,1,1,2,2,0,0,1,2,Odorrana chapaensis
Odorrana exiliversabilis,53.4,47.55,56.8,3,145,176,1,1,2,2,0,0,1,2,Odorrana exiliversabilis
Odorrana grahami,82.15,76,89,2.7,2446,2446,1,1,1,2,0,0,1,4,Odorrana grahami
Odorrana graminea,69.55,48,91,2.4,2240,3724,1,1,2,2,0,0,1,2,Odorrana graminea
Odorrana hainanensis,79.4,56,103,,,,1,1,2,2,0,0,1,2,Odorrana hainanensis
Odorrana hejiangensis,67.05,47.3,86.8,2,,,1,1,2,2,0,0,1,2,Odorrana hejiangensis
Odorrana huanggangensis,66.25,42,86.7,2.6,,,1,1,2,2,0,0,1,2,Odorrana huanggangensis
Odorrana jingdongensis,85.9,75,97,2.5,1169,1169,1,1,2,2,0,0,1,2,Odorrana jingdongensis
Odorrana junlianensis,86.8,76,98,2.5,,,1,1,2,2,1,0,1,2,Odorrana junlianensis
Odorrana kuangwuensis,62.95,57.2,68.7,2,,,1,1,1,2,0,0,1,2,Odorrana kuangwuensis
Odorrana lungshengensis,71.55,62,81,2.5,,,1,1,2,2,0,0,1,2,Odorrana lungshengensis
Odorrana margaretae,92.4,50.6,93,3.5,705,705,1,1,2,2,1,0,1,4,Odorrana margaretae
Odorrana nanjiangensis,65.1,59.6,74.6,,,,1,1,2,2,0,0,1,2,Odorrana nanjiangensis
Odorrana nasuta,66.3,60.15,73.35,2.5,197,197,1,1,2,2,0,0,1,2,Odorrana nasuta
Odorrana rotodora,69.6,51,91.5,,,,1,1,1,2,0,0,1,2,Odorrana rotodora
Odorrana schmackeri,62.3,44,80,2.4,1400,2544,1,1,2,2,0,0,1,2,Odorrana schmackeri
Odorrana swinhoana,66.9,60,74,3,40,50,1,1,2,2,0,0,1,2,Odorrana swinhoana
Odorrana tianmuii,58.15,60,70.5,3,,,1,1,1,2,0,0,1,2,Odorrana tianmuii
Odorrana tiannanensis,75.85,53,99,2,,,1,1,2,2,0,0,1,2,Odorrana tiannanensis
Odorrana tormota,46.65,30,55.5,2.45,490,863,1,1,3,2,0,0,1,3,Odorrana tormota
Odorrana versabilis,76.45,74,79,3,101,600,1,1,2,2,0,0,1,2,Odorrana versabilis
Odorrana wuchuanensis,78.8,73.75,82.9,2.5,348,348,1,1,2,1,0,0,1,2,Odorrana wuchuanensis
Odorrana yizhangensis,59.4,51.4,67.4,,356,356,1,1,2,2,0,0,1,2,Odorrana yizhangensis
Onychodactylus zhangyapingi,78.4,64.6,73.5,5,15,21,1,1,2,2,0,0,1,2,Onychodactylus zhangyapingi
Onychodactylus zhaoermii,71.125,65.3,76.9,5,12,17,1,1,2,2,0,0,1,1,Onychodactylus zhaoermii
Ophryophryne microstoma,40.05,32,48,1.8,436,436,1,1,2,2,0,0,1,2,Megophrys microstoma
Ophryophryne pachyproctus,27.2,29,26,,,,1,1,2,2,0,0,1,2,Megophrys koui
Oreolalax chuanbeiensis,54.85,52,57.5,3.5,109,227,1,1,3,2,0,1,1,2,Oreolalax chuanbeiensis
Oreolalax granulosus,56.9,55,58.5,3.35,110,110,1,1,2,2,0,0,1,2,Oreolalax granulosus
Oreolalax jingdongensis,53.45,54.5,53,3.6,167,167,1,1,3,2,0,0,1,2,Oreolalax jingdongensis
Oreolalax liangbeiensis,56.6,51.5,61,3.5,160,197,1,1,2,2,0,0,1,2,Oreolalax liangbeiensis
Oreolalax lichuanensis,58.9,59,59.5,3.65,215,215,1,1,2,2,0,0,1,3,Oreolalax lichuanensis
Oreolalax major,66.05,64,67.5,3.8,,,1,1,3,2,0,1,1,2,Oreolalax major
Oreolalax multipunctatus,48.05,48.5,,3.5,70,85,1,1,2,2,0,1,1,2,Oreolalax multipunctatus
Oreolalax nanjiangensis,57.15,56.5,55.5,,,,1,1,2,2,0,0,1,2,Oreolalax nanjiangensis
Oreolalax omeimontis,53.9,54,53.5,3.2,,,1,1,3,2,0,1,1,2,Oreolalax omeimontis
Oreolalax pingii,48.85,47,50.5,3.4,150,200,1,1,3,2,0,0,1,3,Oreolalax pingii
Oreolalax popei,63.55,64.5,59.5,3.25,350,350,1,1,1,2,0,0,1,2,Oreolalax popei
Oreolalax puxiongensis,45.29,43,46.5,3,102,151,1,1,3,2,0,0,1,2,Oreolalax puxiongensis
Oreolalax rhodostigmatus,66.75,64,66.5,,,,1,1,2,1,0,0,1,3,Oreolalax rhodostigmatus
Oreolalax rugosus,48.4,48.5,49.5,1.2,436,436,1,1,2,2,0,0,1,2,Oreolalax rugosus
Oreolalax schmidti,47.05,43.5,51,4,108,130,1,1,1,1,0,0,1,3,Oreolalax schmidti
Oreolalax xiangchengensis,53,48,57.5,3.8,,,1,1,2,2,0,0,1,2,Oreolalax xiangchengensis
Pachyhynobius shangchengensis,101.55,102.3,100.8,,,,1,1,1,2,0,0,1,2,Pachyhynobius shangchengensis
Pachytriton archospotus,89.8,87.2,92,,,,1,1,1,2,0,0,0,2,Pachytriton archospotus
Pachytriton brevipes,90.1,88.9,78.6,4.5,30,60,1,1,1,2,0,0,0,3,Pachytriton brevipes
Pachytriton feii,95.33,73.3,81.6,4.5,20,40,1,1,1,2,1,0,0,1,Pachytriton feii
Pachytriton inexpectatus,91.035,85.9,92.3,3,30,50,1,1,1,2,0,0,0,2,Pachytriton inexpectatus
Paramesotriton caudopunctatus,73.45,71.5,75.4,3,63,72,0,3,1,2,0,0,0,2,Paramesotriton caudopunctatus
Paramesotriton chinensis,71.85,76,82,2.35,,,1,1,1,2,0,0,0,2,Paramesotriton chinensis
Paramesotriton fuzhongensis,77.14,81.5,77,2.75,,,1,1,1,2,0,0,0,3,Paramesotriton fuzhongensis
Paramesotriton guangxiensis,71.4,,,2.9,115,115,1,1,1,2,0,0,0,2,Paramesotriton guangxiensis
Paramesotriton hongkongensis,65.95,66.9,70.2,2.9,120,120,1,1,1,2,1,0,0,2,Paramesotriton hongkongensis
Paramesotriton labiatus,96.65,105.3,106.5,5,40,40,1,1,1,2,0,0,0,3,Paramesotriton labiatus
Paramesotriton longliensis,67.45,77.3,78.8,,,,1,1,1,1,0,0,0,3,Paramesotriton longliensis
Paramesotriton yunwuensis,88.705,99.5,82.9,,,,1,1,1,2,0,0,0,1,Paramesotriton yunwuensis
Paramesotriton zhijinensis,62.6,58.1,63,,,,1,1,1,1,0,0,0,2,Paramesotriton zhijinensis
Parapelophryne scalpta,23.35,21,25.5,2.5,28,50,1,1,2,2,0,0,1,2,Parapelophryne scalpta
Pelophylax fukienensis,55.7,47,65,1.4,1011,1011,1,1,1,1,0,0,1,4,Pelophylax fukienensis
Pelophylax hubeiensis,46.6,43,50,1.4,1022,1829,1,1,1,1,0,0,1,2,Pelophylax hubeiensis
Pelophylax lateralis,51.45,48,55,,,,1,1,2,1,0,0,1,6,Hylarana lateralis
Pelophylax nigromaculatus,68.35,62,74,1.75,3000,5000,1,1,2,1,0,0,1,7,Pelophylax nigromaculatus
Pelophylax plancyi,61.15,55,67,1.25,325,3445,1,1,1,1,0,0,1,2,Pelophylax plancyi
Pelophylax terentievi,65.65,58,60,2,,,1,1,1,1,0,0,1,2,Pelophylax terentievi
Polypedates braueri,56,48,64,,,,0,4,4,1,0,0,1,3,Polypedates braueri
Polypedates megacephalus,52.7,44.5,61,1.5,250,2410,0,2,3,1,1,0,1,6,Polypedates megacephalus
Polypedates mutus,66.8,57.5,65,2,,,0,3,4,1,0,0,1,3,Polypedates mutus
Pseudohynobius flavomaculatus,86.4,87,85.8,5.5,33,49,1,1,3,2,0,0,1,2,Pseudohynobius flavomaculatus
Pseudohynobius jinfo,81.1,,,,,,1,1,2,2,0,0,1,1,Pseudohynobius jinfo
Pseudohynobius kuankuoshuiensis,90.5,,,,,,1,1,3,1,0,0,1,2,Pseudohynobius kuankuoshuiensis
Pseudohynobius puxiongensis,71.4,,,,,,1,1,2,1,0,0,1,1,Pseudohynobius puxiongensis
Pseudohynobius shuichengensis,103.85,,,5.2,45,89,0,3,3,1,0,0,1,2,Pseudohynobius shuichengensis
Quasipaa boulengeri,94,89,100,4,218,218,1,1,2,2,1,0,1,3,Quasipaa boulengeri
Quasipaa exilispinosa,59.15,55.5,53.5,3.3,54,107,1,1,1,1,0,0,1,3,Quasipaa exilispinosa
Quasipaa jiulongensis,82.95,96,82.5,,,,1,1,2,2,0,0,1,2,Quasipaa jiulongensis
Quasipaa shini,96.75,102,98,3.5,10,11,1,1,2,2,0,0,1,2,Quasipaa shini
Quasipaa spinosa,126.9,124,134,4.75,122,350,1,1,2,2,1,0,1,3,Quasipaa spinosa
Quasipaa verrucospinosa,101.4,104,98.5,3.7,164,6172,1,1,2,2,0,0,1,2,Quasipaa verrucospinosa
Quasipaa yei,66.55,57,76,,265,265,1,1,2,2,1,0,1,2,Quasipaa yei
Rana amurensis,60.2,57.5,60.5,1.65,900,1300,1,1,2,1,0,0,1,7,Rana amurensis
Rana arvalis,48.25,49.5,45.5,2.25,1599,3000,1,1,2,1,0,0,1,7,Zhangixalus arvalis
Rana asiatica,55.8,54,57.5,2.3,600,1700,1,1,1,1,0,0,1,6,Rana asiatica
Rana chaochiaoensis,53.25,63.5,53,1.8,1500,1500,1,1,3,1,0,0,1,3,Rana chaochiaoensis
Rana chensinensis,53.5,48.5,52,1.65,165,2000,1,1,2,1,0,0,1,4,Rana chensinensis
Rana chevronta,49.15,42,56,1.8,,,1,1,3,1,0,0,1,2,Rana chevronta
Rana coreana,42.85,40.9,44.8,1.8,300,1500,1,1,2,1,0,0,1,6,Rana coreana
Rana dybowskii,64.85,63,69.5,1.75,500,2300,1,1,2,1,0,0,1,6,Rana dybowskii
Rana huanrensis,44.05,43,45.5,2,450,450,1,1,2,2,0,0,1,3,Rana huanrensis
Rana jiemuxiensis,44.2,43.1,45.3,,200,1500,1,1,2,1,0,0,1,3,Rana jiemuxiensis
