Order,Family,Genus,Species,Body_mass_grams,Body_size_mm,Age_sexual_maturity_years,Size_sexual_maturity_mm,max_longevity_years,Egg_mass_grams,Clutch_size,Birth_weight_grams,Offspring_size,Reproductive_output,Incubation_time_days,larval_period_days,metamorphosis_size_mm,Databases & references
Anura,Allophrynidae,Allophryne,Allophryne ruthveni,31,31,NA,NA,NA,NA,300,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes cisternasii,6.1,50,2,6,6,0.024,120,NA,2.6,4,26,145,25,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes dickhilleni,NA,55,2,NA,NA,NA,40,NA,NA,1,NA,NA,25,Trochet et al. 2014 & Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes maurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes muletensis,2.31,40,3,30,NA,NA,13.5,NA,5.4,1,31,NA,NA,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Alytes,Alytes obstetricans,13.4,55,2.5,7,7,0.0405,112,1.325,2.6,4,30.77777778,90,26.5,Trochet et al. 2014 & Gossenbacher 2012 & Green et al. 2007
Anura,Alytidae,Discoglossus,Discoglossus galganoi,21.8,80,2,9,9,NA,900,NA,1.5,6,NA,50,NA,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus jeanneae,NA,60,NA,NA,NA,NA,1500,NA,NA,1,NA,NA,NA,Trochet et al. 2014 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus montalentii,NA,65,NA,NA,NA,NA,1000,NA,1.5,1,NA,NA,10,Trochet et al. 2014 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus nigriventer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus pictus,22.05,80,3.5,25,11,NA,760,NA,1,1,2,30,15.25,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus sardus,30.95,70,3,9,9,NA,1000,NA,1,1,NA,NA,9.658,Trochet et al. 2014 & Gossenbacher 2012 & Oliveira et al. 2017
Anura,Alytidae,Discoglossus,Discoglossus scovazzi,NA,70,NA,NA,NA,NA,1000,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Prostherapis,Prostherapis dunni,NA,25.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates alessandroi,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates algorei,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates bromelicola,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates brunneus,NA,24,NA,NA,NA,NA,17,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates caeruleodactylus,NA,16.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates caribe,NA,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates cepedai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates chalcopis,NA,18.4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates conspicuus,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates crombiei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates femoralis,4.1,36,0.8,6,6,NA,28,NA,1.5,12,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates fratisenescus,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates fuscellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates gasconi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates goianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates granti,NA,18.4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates hodli,NA,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates humilis,NA,21.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates insperatus,NA,NA,NA,NA,NA,NA,17,NA,NA,2,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates juanii,NA,24.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates kingsburyi,NA,NA,NA,NA,NA,NA,17.5,NA,NA,10,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates mandelorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates marchesianus,NA,18,NA,NA,NA,NA,20,NA,1.5,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates masniger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates mcdiarmidi,NA,24.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates melanolaemus,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates myersi,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates nidicola,NA,21.4,NA,NA,NA,NA,4,NA,2.4,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates niputidea,NA,18,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates olfersioides,NA,19,NA,NA,NA,NA,11,NA,1.5,3,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates ornatus,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates paleovarzensis,NA,22.4,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates picachos,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates pittieri,NA,18.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates ranoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates rufulus,NA,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates sanmartini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates spumaponens,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates subfolionidificans,NA,18.7,NA,NA,NA,NA,9,NA,NA,3,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates sumtuosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates talamancae,NA,25,1,NA,NA,NA,34,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates trilineatus,0.54,19,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates undulatus,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates vanzolinius,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates wayuu,NA,19.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Allobates,Allobates zaparo,NA,31,0.9,NA,NA,NA,46,NA,NA,3,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus atopoglossus,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus ayarzaguenai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus baeobatrachus,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus beebei,NA,18.7,0.45,5,5,NA,4,NA,0.9,3,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus breweri,NA,23.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus confusus,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus degranvillei,NA,16.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus guanayensis,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus kaiei,NA,19.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus lacrimosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus megacephalus,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus moffetti,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus murisipanensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus parimae,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus parkerae,NA,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus praderioi,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus roraima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus shrevei,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus stepheni,NA,18.24,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus tamacuarensis,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus tepuyensis,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus triunfo,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus verbeeksnyderorum,NA,22.3,0.4,5,5,NA,5,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Anomaloglossus,Anomaloglossus wothuja,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Rheobates,Rheobates palmatus,NA,39,0.35,NA,NA,NA,23.5,NA,2.4,6,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Rheobates,Rheobates pseudopalmatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates alboguttatus,NA,25,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates capurinensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates duranti,NA,30.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates haydeeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates leopardalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates mayorgai,NA,25.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates meridensis,NA,32.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates molinarii,NA,30.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates nocturnus,NA,62,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates orostoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates saltuensis,NA,26.9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Aromobates,Aromobates serranus,NA,28.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne caquetio,NA,30.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne collaris,NA,27,0.5,NA,NA,NA,14,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne cordilleriana,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne herminae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne lamarcai,NA,30.8,NA,NA,NA,NA,10,NA,1.8,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne larandina,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne leonardoi,NA,24.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne neblina,NA,28.9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne oblitterata,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne olmonae,28,12,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne orellana,NA,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne riveroi,NA,46.2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne speeri,NA,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne trinitatis,20,29,NA,NA,NA,NA,10.5,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne trujillensis,NA,27.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne urticans,NA,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne venezuelensis,NA,24.7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne vulcano,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Aromobatidae,Mannophryne,Mannophryne yustizi,NA,30.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis adelphus,NA,33.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis adolfifriederici,NA,42,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis affinis,NA,45,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis aureoli,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis bioko,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis bivittatus,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis brevipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis carquejai,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis crusculum,NA,20,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis fichika,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis francei,NA,49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis hematogaster,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis kidogo,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis krokosua,NA,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis lameerei,NA,23,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis langeri,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis loveridgei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis mossoensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis nguruensis,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis nikeae,NA,56,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis nimbaensis,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis nlonakoensis,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis palava,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis perreti,NA,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis phrynoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis poecilonotus,2.69,33.4,0.35,0.3,0.3,NA,20,NA,2.9,2,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis pyrrhoscelis,NA,23.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis reichei,NA,34,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis schubotzi,NA,21,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis spinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis stenodactylus,NA,45,NA,NA,NA,NA,55,NA,2,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis stridens,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis sylvaticus,NA,21.5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis taeniatus,NA,24.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis tanneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis troglodytes,NA,25,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis tuberosus,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis variabilis,NA,37.8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis vercammeni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis wahlbergii,NA,34.6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis xenochirus,NA,24,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis xenodactyloides,NA,23.8,NA,0.5,0.5,NA,21.5,NA,4,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis xenodactylus,NA,21.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Arthroleptis,Arthroleptis zimmeri,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus batesi,NA,70,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus diadematus,NA,52,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus fallax,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus laurenti,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus montanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus nganhanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus occidentalis,NA,65.3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
Anura,Arthroleptina,Astylosternus,Astylosternus perreti,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Oliveira et al. 2017
