"FD.FRic","FD.FEve","FD.FDiv","FD.FDis","FD.RaoQ","grid_id"
NA,NA,NA,0,0,747
NA,NA,NA,0,0,838
NA,NA,NA,0,0,849
NA,NA,NA,0,0,940
NA,NA,NA,0,0,950
NA,NA,NA,1.74300186397168,3.03805549780876,951
NA,NA,NA,1.74300186397168,3.03805549780876,952
NA,NA,NA,1.74300186397168,3.03805549780876,953
0.044907337623411,0.622376246482932,0.602322099618068,1.50203541809756,2.56414372366154,958
NA,NA,NA,0,0,1041
NA,NA,NA,0,0,1052
NA,NA,NA,1.74300186397168,3.03805549780876,1053
NA,NA,NA,1.74300186397168,3.03805549780876,1054
NA,NA,NA,1.74300186397168,3.03805549780876,1055
NA,NA,NA,1.74300186397168,3.03805549780876,1056
NA,NA,NA,1.74300186397168,3.03805549780876,1057
NA,NA,NA,1.74300186397168,3.03805549780876,1058
NA,NA,NA,1.74300186397168,3.03805549780876,1060
0.0791657676348312,0.611452337781685,0.596254324387562,1.44509577336081,2.42740029096182,1062
NA,NA,NA,0,0,1143
NA,NA,NA,0,0,1154
NA,NA,NA,1.74300186397168,3.03805549780876,1155
NA,NA,NA,1.74300186397168,3.03805549780876,1156
NA,NA,NA,1.74300186397168,3.03805549780876,1157
NA,NA,NA,1.74300186397168,3.03805549780876,1158
NA,NA,NA,0,0,1159
NA,NA,NA,0,0,1160
NA,NA,NA,0,0,1161
NA,NA,NA,0,0,1162
0.0791657676348312,0.611452337781685,0.596254324387562,1.44509577336081,2.42740029096182,1165
NA,NA,NA,0,0,1256
NA,NA,NA,1.74300186397168,3.03805549780876,1257
NA,NA,NA,1.74300186397168,3.03805549780876,1258
NA,NA,NA,1.74300186397168,3.03805549780876,1259
NA,NA,NA,0,0,1260
NA,NA,NA,0,0,1261
NA,NA,NA,0.881998776181022,0.777921841184821,1267
NA,NA,NA,0,0,1341
NA,NA,NA,1.18886547488586,1.41340111737558,1342
NA,NA,NA,0,0,1343
NA,NA,NA,0,0,1345
NA,NA,NA,0,0,1346
NA,NA,NA,0,0,1359
NA,NA,NA,0,0,1360
NA,NA,NA,0,0,1361
NA,NA,NA,0,0,1362
0.0791657676348312,0.611452337781685,0.596254324387562,1.44509577336081,2.42740029096182,1370
NA,NA,NA,0,0,1443
NA,NA,NA,1.18886547488586,1.41340111737558,1444
NA,NA,NA,0,0,1445
NA,NA,NA,0,0,1446
NA,NA,NA,0,0,1447
0.10100853241994,0.531659296823313,0.657485135311311,1.11151626883289,1.73334003700818,1473
NA,NA,NA,0,0,1545
NA,NA,NA,0,0,1546
NA,NA,NA,0,0,1547
NA,NA,NA,0,0,1548
NA,NA,NA,0,0,1549
0.0223697833546322,0.47393902970229,0.668626726458278,0.765459343669038,0.71003777892974,1574
NA,NA,NA,0,0,1648
NA,NA,NA,0,0,1649
NA,NA,NA,0,0,1650
NA,NA,NA,0,0,1651
NA,NA,NA,0,0,1675
0.00908221033108123,0.606342689036641,0.731982477215242,0.882338571450918,0.835574360039846,1676
NA,NA,NA,0,0,1750
NA,NA,NA,0,0,1751
NA,NA,NA,0,0,1752
NA,NA,NA,0,0,1753
NA,NA,NA,0,0,1778
0.0953796451530727,0.514239895162537,0.631028116951317,1.3495925359786,2.20230601191456,1779
NA,NA,NA,0,0,1853
NA,NA,NA,0,0,1854
NA,NA,NA,0,0,1855
NA,NA,NA,0,0,1880
NA,NA,NA,0,0,1881
0.0953796451530727,0.514239895162537,0.631028116951317,1.3495925359786,2.20230601191456,1882
NA,NA,NA,0,0,1955
NA,NA,NA,0,0,1956
NA,NA,NA,0,0,1957
NA,NA,NA,0,0,1983
0.00469236063172516,0.231462397420621,0.854485388800405,0.846741682326569,0.803098325505397,1984
0.10100853241994,0.531659296823313,0.657485135311311,1.11151626883289,1.73334003700818,1985
NA,NA,NA,0,0,2057
NA,NA,NA,0,0,2058
NA,NA,NA,0,0,2059
NA,NA,NA,0,0,2085
NA,NA,NA,0.965187372172141,0.931586663400564,2086
0.0953796451530727,0.514239895162537,0.631028116951317,1.3495925359786,2.20230601191456,2087
NA,NA,NA,0,0,2160
NA,NA,NA,0,0,2161
NA,NA,NA,0.965187372172141,0.931586663400564,2188
NA,NA,NA,0.965187372172141,0.931586663400564,2189
0.0418608298324715,0.738437638002678,0.717587105431542,0.745228692025123,0.686255066367282,2190
NA,NA,NA,0,0,2262
NA,NA,NA,0,0,2263
NA,NA,NA,0.965187372172141,0.931586663400564,2290
NA,NA,NA,0.965187372172141,0.931586663400564,2291
0.0223697833546322,0.47393902970229,0.668626726458278,0.765459343669038,0.71003777892974,2292
NA,NA,NA,0,0,2364
NA,NA,NA,0,0,2365
NA,NA,NA,0,0,2391
NA,NA,NA,0.965187372172141,0.931586663400564,2392
NA,NA,NA,0.965187372172141,0.931586663400564,2393
NA,NA,NA,0.965187372172141,0.931586663400564,2394
0.0418608298324715,0.738437638002678,0.717587105431542,0.745228692025123,0.686255066367282,2395
NA,NA,NA,0,0,2466
NA,NA,NA,0,0,2467
NA,NA,NA,0,0,2493
NA,NA,NA,0.965187372172141,0.931586663400564,2494
NA,NA,NA,0.965187372172141,0.931586663400564,2495
NA,NA,NA,0.965187372172141,0.931586663400564,2496
0.0259043473973803,0.620108357538191,0.625413319214242,0.64410812883871,0.574957470030149,2497
NA,NA,NA,0,0,2568
NA,NA,NA,0,0,2569
NA,NA,NA,0,0,2595
NA,NA,NA,0.965187372172141,0.931586663400564,2596
NA,NA,NA,0.965187372172141,0.931586663400564,2597
NA,NA,NA,0.965187372172141,0.931586663400564,2598
NA,NA,NA,0.965187372172141,0.931586663400564,2599
NA,NA,NA,0,0,2670
NA,NA,NA,0,0,2671
NA,NA,NA,0,0,2697
NA,NA,NA,0.965187372172141,0.931586663400564,2698
NA,NA,NA,0.965187372172141,0.931586663400564,2699
NA,NA,NA,0.965187372172141,0.931586663400564,2700
NA,NA,NA,0.965187372172141,0.931586663400564,2701
0.0418608298324715,0.706743143473717,0.688138567228515,0.69426203797065,0.630884270361985,2702
NA,NA,NA,0,0,2799
NA,NA,NA,0.965187372172141,0.931586663400564,2800
NA,NA,NA,0.965187372172141,0.931586663400564,2801
NA,NA,NA,0.965187372172141,0.931586663400564,2802
NA,NA,NA,0.965187372172141,0.931586663400564,2803
0.0395583602848775,0.660957738953718,0.69676598025061,0.762670050461709,0.712300790591328,2804
NA,NA,NA,0,0,2901
NA,NA,NA,0.965187372172141,0.931586663400564,2902
NA,NA,NA,0.965187372172141,0.931586663400564,2903
NA,NA,NA,0.965187372172141,0.931586663400564,2904
NA,NA,NA,0.965187372172141,0.931586663400564,2905
0.0395583602848775,0.660957738953718,0.69676598025061,0.762670050461709,0.712300790591328,2906
NA,NA,NA,0,0,3003
NA,NA,NA,0.965187372172141,0.931586663400564,3004
NA,NA,NA,0.965187372172141,0.931586663400564,3005
NA,NA,NA,0.965187372172141,0.931586663400564,3006
0.0262392773767355,0.734150962097218,0.750236492033112,1.6958629173215,2.99521675202259,3007
0.0958540316136675,0.583328177218706,0.606948140233249,1.30197958905574,2.11707318874764,3008
4.5000029444895,0.497482032243397,0.717041252115851,1.96459217083796,6.30848058531484,3009
NA,NA,NA,0,0,3105
NA,NA,NA,0.965187372172141,0.931586663400564,3106
NA,NA,NA,0.965187372172141,0.931586663400564,3107
NA,NA,NA,0.965187372172141,0.931586663400564,3108
0.0262392773767355,0.734150962097218,0.750236492033112,1.6958629173215,2.99521675202259,3109
0.0601987022580709,0.607124841329299,0.578607874771365,1.45088995805773,2.43380846223702,3110
NA,NA,NA,0,0,3207
NA,NA,NA,0.965187372172141,0.931586663400564,3208
NA,NA,NA,0.965187372172141,0.931586663400564,3209
NA,NA,NA,0.965187372172141,0.931586663400564,3210
0.0262392773767355,0.734150962097218,0.750236492033112,1.6958629173215,2.99521675202259,3211
NA,NA,NA,0,0,3309
NA,NA,NA,0.965187372172141,0.931586663400564,3310
NA,NA,NA,0.965187372172141,0.931586663400564,3311
NA,NA,NA,0.965187372172141,0.931586663400564,3312
NA,NA,NA,0.965187372172141,0.931586663400564,3313
NA,NA,NA,0,0,3411
NA,NA,NA,0.965187372172141,0.931586663400564,3412
NA,NA,NA,0.965187372172141,0.931586663400564,3413
NA,NA,NA,0.965187372172141,0.931586663400564,3414
NA,NA,NA,0.965187372172141,0.931586663400564,3415
0.0136540128874972,0.44571762905981,0.758909803375449,0.815666748424109,0.728619135183607,3416
NA,NA,NA,0,0,3513
NA,NA,NA,0.965187372172141,0.931586663400564,3514
NA,NA,NA,0.965187372172141,0.931586663400564,3515
NA,NA,NA,0.965187372172141,0.931586663400564,3516
NA,NA,NA,0,0,3517
0.0136540128874972,0.44571762905981,0.758909803375449,0.815666748424109,0.728619135183607,3518
NA,NA,NA,0,0,3615
NA,NA,NA,0.965187372172141,0.931586663400564,3616
NA,NA,NA,0.965187372172141,0.931586663400564,3617
NA,NA,NA,0.965187372172141,0.931586663400564,3618
NA,NA,NA,0,0,3619
0.029823542973941,0.612748683690914,0.918441960287642,0.82485378219987,0.69239130213365,3620
0.603187648733613,0.731321163896713,0.717200423332602,1.14163703082627,1.46390892856579,3621
NA,NA,NA,0,0,3695
NA,NA,NA,0,0,3696
NA,NA,NA,0,0,3697
NA,NA,NA,0,0,3698
NA,NA,NA,0,0,3717
NA,NA,NA,0.965187372172141,0.931586663400564,3718
NA,NA,NA,0.965187372172141,0.931586663400564,3719
NA,NA,NA,0.965187372172141,0.931586663400564,3720
NA,NA,NA,0,0,3721
0.345698899650655,0.762065839527768,0.765401797014398,1.23730659069458,1.70448394217218,3722
0.643796636604638,0.692387582652351,0.693893583129474,1.41183846434732,2.53660820240475,3723
1.99169187927501,0.767473314543449,0.711234078867313,2.05095363216125,4.70586899114043,3724
NA,NA,NA,0,0,3796
NA,NA,NA,0,0,3797
NA,NA,NA,0,0,3798
NA,NA,NA,0,0,3799
NA,NA,NA,0,0,3800
NA,NA,NA,0,0,3801
NA,NA,NA,0,0,3819
NA,NA,NA,0.965187372172141,0.931586663400564,3820
NA,NA,NA,0.965187372172141,0.931586663400564,3821
NA,NA,NA,0.965187372172141,0.931586663400564,3822
