Family,Species,Species_origin,Sample_Male_Famle,Male_size_mm,Female_size_mm,Male_mass_g,Female_mass_g,Clutch_size,References
Agamidae,Phrynocephalus grumgrzimailoi,Phrynocephalus grumgrzimailoi,"189,198",55.31,54.89,5.370318,5.248075,NA,"Liu & Shi 2009, Wang 2011; ; measured in XJAU"
Agamidae,Phrynocephalus melanurus,Phrynocephalus guttatus,"3,4",46.4,49,3.090295,3.630781,3.2,Zhao et al. 1999
Agamidae,Phrynocephalus helioscopus,Phrynocephalus helioscopus,"74+,79+",46.96,47.86,3.162278,3.388442,4.5,"Zhao et al. 1999, Liang et al. 2015/2017/2018, Xu et al. 2015 ; measured in XJAU"
Agamidae,Phrynocephalus mystaceus,Phrynocephalus mystaceus,"20,14",74.62,67.83,13.48963,10,NA,"Zha et al. 1999, Zheng & Shi et al. unpublished data, measured by Zheng peng & Liang tao"
Agamidae,Phrynocephalus przewalskii,Phrynocephalus przewalskii,"155,171",54.85,52.1,5.128614,4.365158,3.3,Wang 2011
Agamidae,Phrynocephalus putjatai,Phrynocephalus putjatai,"20,20",58.1,61.7,6.16595,7.413102,3.2,Wang 2011
Agamidae,Phrynocephalus theobaldi,Phrynocephalus theobaldi,"20,20",48.1,53.7,3.467369,4.897788,2.4,Wang 2011
Agamidae,Phrynocephalus versicolor,Phrynocephalus versicolor,"51,88",51.7,52.2,4.265795,4.466836,3.8,Qu et al. 2011
Agamidae,Phrynocephalus vlangalii,Phrynocephalus vlangalii,NA,58.47,58.53,6.309573,6.309573,4,"Wang 2011, Zhao et al. 2016"
Agamidae,Physignathus cocincinus,Physignathus cocincinus,"4,3",190.25,168.33,245.4709,169.8244,10.4,Yang & Rao 2008
Agamidae,Pseudocalotes austeniana,Pseudocalotes austeniana,"1,4",86.6,87.45,21.37962,21.87762,8,Wang et al. 2019d
Agamidae,Pseudocalotes bapoensis,Pseudocalotes bapoensis,"3,2",111.25,125,46.77351,66.06934,NA,Yang & Rao 2008
Agamidae,Pseudocalotes brevipes,Pseudocalotes brevipes,"2,1",77.5,54.8,15.13561,5.128614,NA,Scharf & Meiri 2013
Agamidae,Pseudocalotes kakhienensis,Pseudocalotes kakhienensis,"1,2",104,103.5,38.01894,37.15352,NA,Yang & Rao 2008
Agamidae,Pseudocalotes kingdonwardi,Pseudocalotes kingdonwardi,NA,98,100,31.62278,33.11311,NA,Li et al. 1999
Agamidae,Pseudocalotes microlepis,Pseudocalotes microlepis,"5+,8+",68.7,66,10.47129,9.120108,NA,"Zhao et al. 1999, Shi et al. 2011, Yang & Rao 2008"
Agamidae,Ptyctolaemus gularis,Ptyctolaemus gularis,"13,12",87.4,77.53,21.87762,15.13561,NA,"Huang 1980, Scharf & Meiri 2013"
Agamidae,Trapelus sanguinolentus,Trapelus sanguinolentus,"34,33",97.84,94,30.90295,27.54229,NA,measured by Lei Shi & Liang tao in XJAU.
Anguidae,Dopasia gracilis,Dopasia gracilis,"12,15",143,143,54.95409,54.95409,8.5,"Zhao 2003,Yang & Rao 2008,  Li 2010, Shen et al. 2014, "
Anguidae,Dopasia harti,Dopasia harti,"5,4",193.6,179,154.8817,117.4898,7,"Zhao 2003,Yang & Rao 2008, Shen et al. 2014, "
Dibamidae,Dibamus bourreti,Dibamus bourreti,"2,4",157.25,132.87,7.079458,4.786301,NA,"Yang et al. 2011, Shen et al. 2014"
Eublepharidae,Goniurosaurus bawanglingensis,Goniurosaurus bawanglingensis,"15,14",92.28,89.77,15.84893,14.4544,NA,"Shi et al. 2011, Chen et al. 2019"
Eublepharidae,Goniurosaurus hainanensis,Goniurosaurus hainanensis,"1,2",69,90.5,6.025596,14.79108,NA,Shi et al. 2011
Eublepharidae,Goniurosaurus kadoorieorum,Goniurosaurus kadoorieorum,"2,1",115.25,116,32.35937,33.11311,NA,Yang & Chan  2015
Eublepharidae,Goniurosaurus kwangsiensis,Goniurosaurus kwangsiensis,"2,2",104,103.35,22.90868,22.90868,NA,Yang & Chan  2015
Eublepharidae,Goniurosaurus liboensis,Goniurosaurus liboensis,"2,2",105.5,106.75,23.98833,25.11886,2,Wang et al. 2013
Eublepharidae,Goniurosaurus lichtenfelderi,Goniurosaurus lichtenfelderi,"2,5",93,90.6,16.2181,14.79108,NA,Zhao et al. 1999
Eublepharidae,Goniurosaurus yingdeensis,Goniurosaurus yingdeensis,"4,2",89.15,84.85,14.12538,12.02264,NA,Wang et al. 2010
Eublepharidae,Goniurosaurus zhelongi,Goniurosaurus zhelongi,"2,3",87.1,92.2,12.8825,15.48817,NA,Wang et al. 2014
Eublepharidae,Goniurosaurus zhoui,Goniurosaurus zhoui,"3,2",94.95,95.93,17.37801,17.78279,NA,Zhou et al. 2018
Gekkonidae,Alsophylax pipiens,Alsophylax pipiens,"6,4",33.17,36,0.912011,1.122018,1,Zhao et al. 1999
Gekkonidae,Alsophylax przewalskii,Alsophylax przewalskii,"2,2",32,31.5,0.812831,0.776247,NA,Zhao et al. 1999
Gekkonidae,Altiphylax stoliczkai,Altiphylax stoliczkai,NA,49,50,2.630268,2.818383,NA,Scharf & Meiri 2013
Gekkonidae,Cyrtodactylus cayuensis,Cyrtodactylus cayuensis,NA,66.8,71.6,6.309573,7.585776,NA,Li 2007
Gekkonidae,Cyrtodactylus khasiensis,Cyrtodactylus khasiensis,"4,3",69.63,77.73,7.079458,9.549926,NA,Ishan et al. 2018
