iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Cygnus_cygnus,Cygnus_cygnus,1,0,1237.75,2.5,3,5,719.33,19.71,1,5,1,2,2
Cygnus_columbianus,Cygnus_columbianus,1,0,1165.5,3.5,3,1,659.93,18.3,1,5,1,2,2
Anser_cygnoid,Anser_cygnoid,1,1,850.15,6,3,10,800.61,18.92,1,5,1,2,2
Anser_fabalis,Anser_fabalis,0,0,751.75,5.5,3,9,681.85,30.02,1,5,1,2,2
Anser_albifrons,Anser_albifrons,0,0,700,2.5,3,10,633.5,17.96,1,5,1,2,2
Anser_erythropus,Anser_erythropus,1,1,580,2.5,3,10,652.91,30.11,1,5,1,1,2
Anser_anser,Anser_anser,0,0,807.5,2.5,1,6,961.58,19.15,1,5,1,2,2
Anser_indicus,Anser_indicus,0,0,717.5,5,1,5,751.38,31.83,1,5,1,1,2
Tadorna_ferruginea,Tadorna_ferruginea,0,0,592,9,1,11,959.02,31.57,0,5,2,2,1
Tadorna_tadorna,Tadorna_tadorna,0,0,570.75,9,1,9,959.02,30.2,0,5,1,2,0
Nettapus_coromandelianus,Nettapus_coromandelianus,3,0,305,11,1,2,392.01,15.69,0,1,1,2,0
Aix_galericulata,Aix_galericulata,1,0,219.75,9.5,1,1,606.69,16.75,0,1,1,2,1
Mareca_penelope,Anas_penelope,0,0,258.15,8.5,1,6,961.58,19.36,1,5,1,2,1
Mareca_falcata,Anas_falcata,1,1,261.15,8,1,1,751.11,17.12,1,5,2,2,2
Mareca_strepera,Anas_strepera,0,0,299.5,10,1,6,961.58,17.18,1,5,2,1,0
Sibirionetta_formosa,Anas_formosa,1,0,208.5,7.5,1,9,630.99,16.76,1,5,1,1,2
Anas_crecca,Anas_crecca,0,0,388.5,9.5,1,7,961.58,16.18,1,5,1,2,1
