Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Otus_scops,0.51,1.01,8.83
Otus_brucei,0.46,0.92,7.93
Otus_longicornis,0.6,1.11,8.37
Otus_mirus,0.56,0.92,8.64
Otus_mindorensis,0.6,1.06,9.99
Otus_rutilus,0.53,0.99,7.9
Otus_mayottensis,0.58,1.02,9.61
Otus_capnodes,0.59,1.05,9.9
Otus_pauliani,0.56,0.95,8.93
Otus_moheliensis,0.59,1.03,9.67
Otus_socotranus,0.5,1,10.93
Otus_insularis,0.6,1.03,10.52
Otus_sunia,0.48,0.94,7.88
Otus_elegans,0.58,1.11,8.89
Otus_siaoensis,0.63,1.12,10.28
Otus_manadensis,0.59,0.99,9.12
Otus_mendeni,0.5,1,10.93
Otus_sulaensis,0.5,1,10.93
Otus_collari,0.58,0.98,9.02
Otus_mantananensis,0.59,1.03,9.67
Otus_magicus,0.58,1.07,10.31
Otus_jolandae,0.5,1,10.93
Otus_tempestatis,0.5,1,10.93
Otus_beccarii,0.63,1.12,10.23
Pyrroglaux_podargina,0.76,1.57,11.22
Ptilopsis_leucotis,0.75,2.02,13.89
Ptilopsis_granti,0.75,1.67,12.69
Asio_stygius,0.84,1.76,24.53
Asio_otus,0.65,1.14,20.13
Asio_abyssinicus,0.79,1.17,19.97
Asio_madagascariensis,0.78,1.17,20.73
Asio_clamator,0.8,1.55,22.22
Asio_flammeus,0.59,1.03,18.81
Asio_capensis,0.82,1.67,23.45
Pseudoscops_grammicus,0.82,2.19,15.02
Nesasio_solomonensis,0.84,2.66,18.98
Psiloscops_flammeolus,0.67,1.12,9.63
Megascops_kennicottii,0.58,0.99,15.96
Megascops_seductus,0.68,1.07,16.48
Megascops_cooperi,0.64,1.1,14.11
Megascops_asio,0.68,1.16,18.06
Megascops_trichopsis,0.63,1.03,13.53
Megascops_choliba,0.7,1.2,14.77
Megascops_roboratus,0.69,1.05,14.13
Megascops_koepckeae,0.68,1.03,14.15
Megascops_clarkii,0.7,1.1,14.93
Megascops_barbarus,0.57,0.91,11.96
Megascops_colombianus,0.71,1.08,16.03
Megascops_ingens,0.7,1.1,15
Megascops_petersoni,0.68,1,13.42
Megascops_marshalli,0.66,1,13.85
Megascops_watsonii,0.69,1.05,14.18
Megascops_guatemalae,0.67,1.13,14.54
Megascops_vermiculatus,0.58,1,19.84
Megascops_hoyi,0.63,1.02,14.4
Megascops_atricapilla,0.66,1.04,14.62
Megascops_sanctaecatarinae,0.67,1.09,17.28
Megascops_nudipes,0.72,1.26,15.72
Megascops_albogularis,0.68,1.1,14.7
Margarobyas_lawrencii,0.76,1.71,11.93
Pulsatrix_perspicillata,0.84,2.86,21.32
Pulsatrix_koeniswaldiana,0.81,2.48,19.8
Pulsatrix_melanota,0.82,2.41,19.98
Strix_seloputo,0.85,2.5,21.58
Strix_ocellata,0.83,2.22,20.19
Strix_leptogrammica,0.87,2.68,23.4
Strix_aluco,0.8,1.99,20.66
Strix_nivicolum,0.82,1,21.5
Strix_hadorami,0.78,1.78,16.45
Strix_butleri,0.82,2,22.12
Strix_occidentalis,0.82,2.24,21.48
Strix_varia,0.81,2.16,21.88
Strix_fulvescens,0.85,2.06,19.37
Strix_hylophila,0.81,2.02,18.73
Strix_chacoensis,0.79,1.78,18.06
Strix_rufipes,0.82,2.06,20.46
Strix_uralensis,0.83,2.28,24.05
Strix_nebulosa,0.77,2,22.51
Strix_woodfordii,0.85,2,16.55
Jubula_lettii,0.75,1.62,11.88
Lophostrix_cristata,0.83,2.08,14.68
Bubo_scandiacus,0.79,1.84,33.5
Bubo_virginianus,0.83,2.04,30.63
Bubo_magellanicus,0.83,1.83,27.15
Bubo_bubo,0.85,2.09,34.17
Bubo_ascalaphus,0.86,2.16,31.65
Bubo_bengalensis,0.8,1.69,25.4
Bubo_capensis,0.84,1.91,27.64
Bubo_africanus,0.82,1.52,21.3
Bubo_cinerascens,0.79,1.49,21.68
Bubo_poensis,0.82,1.42,20.11
Bubo_lacteus,0.87,2.25,29.92
Bubo_shelleyi,0.86,1.86,25.29
Bubo_sumatranus,0.87,1.75,23.49
Bubo_nipalensis,0.87,2.15,30.26
Bubo_coromandus,0.85,1.99,28.97
Bubo_leucostictus,0.81,1.37,19.29
Bubo_philippensis,0.85,1.89,26.41
Bubo_blakistoni,0.83,1.84,29.64
Ketupa_zeylonensis,0.84,2.92,20.56
Ketupa_flavipes,0.88,3.51,24.88
Ketupa_ketupu,0.86,3.13,20.69
Scotopelia_peli,0.9,3.72,24.25
Scotopelia_ussheri,0.8,2.37,17.64
Scotopelia_bouvieri,0.83,2.72,17.65
Ciccaba_virgata,0.8,2.32,15.17
Ciccaba_nigrolineata,0.85,2.43,15.98
Ciccaba_huhula,0.81,1.94,13.76
Ciccaba_albitarsis,0.83,2.04,15.92
Cathartes_aura,0.81,3.03,19.02
Cathartes_burrovianus,0.77,2.59,17
Cathartes_melambrotus,0.82,2.9,17.97
Coragyps_atratus,0.88,6.12,23.05
Sarcoramphus_papa,0.9,3.94,30.86
Gymnogyps_californianus,0.92,6.22,38.19
Vultur_gryphus,0.93,5.13,51
Sagittarius_serpentarius,0.9,3.58,21.08
Pandion_haliaetus,0.83,3.08,28.36
Elanus_caeruleus,0.71,1.86,7.89
Elanus_axillaris,0.75,2.03,9.12
Elanus_leucurus,0.75,2.16,9.37
Elanus_scriptus,0.74,2.01,9.05
Gampsonyx_swainsonii,0.71,1.73,11.85
Chelictinia_riocourii,0.68,1.51,10.74
Leptodon_cayanensis,0.83,2.22,16.37
Leptodon_forbesi,0.83,2.05,16.23
Chondrohierax_uncinatus,0.83,2.21,14.2
Chondrohierax_wilsonii,0.83,2.21,15.09
Elanoides_forficatus,0.83,2.8,15.37
Pernis_apivorus,0.85,2.43,24.94
Pernis_ptilorhynchus,0.86,2.63,24.9
Pernis_celebensis,0.86,2.4,20.29
Pernis_steerei,0.86,2.49,29
Hamirostra_melanosternon,0.84,3.08,21.65
Lophoictinia_isura,0.8,2.57,17.94
Henicopernis_longicauda,0.83,2.11,14.91
Henicopernis_infuscatus,0.84,2.15,16.82
Aviceda_cuculoides,0.76,2.22,14.75
Aviceda_madagascariensis,0.77,2.04,15.06
Aviceda_jerdoni,0.81,2.14,14.23
Aviceda_subcristata,0.81,2.06,15.62
Aviceda_leuphotes,0.76,1.9,13.42
Eutriorchis_astur,0.88,3.47,23.42
Polyboroides_typus,0.82,2.88,17.33
Polyboroides_radiatus,0.84,2.68,16.7
Gypohierax_angolensis,0.86,3.76,24.75
Gypaetus_barbatus,0.9,4.75,34.13
Neophron_percnopterus,0.85,4.42,28.53
Spilornis_cheela,0.84,2.8,18.96
Spilornis_holospilus,0.85,2.89,19.22
Spilornis_klossi,0.83,2.56,18.26
Spilornis_kinabaluensis,0.86,3.06,19.75
Spilornis_rufipectus,0.84,2.56,18.01
Spilornis_elgini,0.8,2.43,18.34
Dryotriorchis_spectabilis,0.8,2.32,17.04
Terathopius_ecaudatus,0.89,3.62,32.95
Pithecophaga_jefferyi,0.91,5.43,34.71
Circaetus_gallicus,0.86,3.67,17.26
Circaetus_beaudouini,0.87,3.6,15.14
Circaetus_pectoralis,0.87,3.58,15.02
Circaetus_cinereus,0.87,3.81,15.54
Circaetus_fasciolatus,0.86,3.32,13.92
Circaetus_cinerascens,0.86,3.38,13.66
Sarcogyps_calvus,0.9,4.16,28.77
Trigonoceps_occipitalis,0.89,3.85,24.44
Necrosyrtes_monachus,0.88,3.56,22.98
Gyps_himalayensis,0.91,6,28.35
Gyps_bengalensis,0.9,5.12,23.25
Gyps_africanus,0.91,5.34,22.3
Gyps_indicus,0.91,5.36,24.22
Gyps_tenuirostris,0.91,5.36,24.32
Gyps_coprotheres,0.91,5.79,26.57
Gyps_rueppelli,0.92,5.68,24.39
Gyps_fulvus,0.91,5.68,26.98
Aegypius_monachus,0.91,4.94,34.09
Torgos_tracheliotos,0.91,5.52,28.91
Macheiramphus_alcinus,0.88,3.12,20.23
Harpyopsis_novaeguineae,0.88,3.47,25.36
Morphnus_guianensis,0.86,3.2,21.38
Harpia_harpyja,0.89,4.65,21.72
Stephanoaetus_coronatus,0.89,4.62,21.15
Nisaetus_nipalensis,0.88,3.84,26.91
Nisaetus_bartelsi,0.87,3.3,21.55
Nisaetus_nanus,0.84,2.76,17.59
Nisaetus_alboniger,0.85,2.98,19.13
Nisaetus_lanceolatus,0.87,3.3,21.12
Nisaetus_philippensis,0.84,2.67,19.45
Nisaetus_pinskeri,0.75,3.27,22.69
Nisaetus_cirrhatus,0.87,3.34,22.28
Nisaetus_floris,0.85,2.79,19.96
Lophotriorchis_kienerii,0.85,2.96,19.5
Polemaetus_bellicosus,0.9,4.7,23.08
Spizaetus_tyrannus,0.86,3.1,20.03
Spizaetus_melanoleucus,0.83,2.51,17.91
Spizaetus_ornatus,0.87,3.21,20.81
Spizaetus_isidori,0.89,3.87,25.08
Ictinaetus_malaiensis,0.86,3.11,20.56
Lophaetus_occipitalis,0.85,3.02,19.39
Clanga_pomarina,0.83,3.39,25
Clanga_hastata,0.87,3.66,23.68
Clanga_clanga,0.85,3.71,27.9
Aquila_rapax,0.88,4.17,29.79
Aquila_nipalensis,0.88,4.33,35.99
Aquila_adalberti,0.88,4.24,35.01
Aquila_heliaca,0.87,4.29,36.87
Aquila_gurneyi,0.91,4.56,32.85
Aquila_chrysaetos,0.89,4.73,40.56
Aquila_audax,0.9,4.72,36.15
Aquila_verreauxii,0.9,4.72,34.39
Aquila_fasciata,0.89,4.22,32.54
Aquila_spilogaster,0.87,3.84,27.35
Aquila_africana,0.87,3.73,26.23
Hieraaetus_wahlbergi,0.83,2.53,15.49
Hieraaetus_pennatus,0.81,2.46,17.79
Hieraaetus_weiskei,0.83,2.51,14.34
Hieraaetus_morphnoides,0.84,2.53,16.94
Hieraaetus_ayresii,0.84,2.65,16.23
Kaupifalco_monogrammicus,0.81,2.03,11.24
Melierax_metabates,0.84,2.76,17.91
Melierax_canorus,0.82,2.64,18.95
Melierax_poliopterus,0.83,2.72,17.7
Micronisus_gabar,0.76,2.02,13.38
Harpagus_bidentatus,0.8,2.01,13.02
Harpagus_diodon,0.78,1.98,13.65
Circus_aeruginosus,0.74,2.59,17.81
Circus_spilonotus,0.76,2.61,18.46
Circus_spilothorax,0.73,2.3,16.87
Circus_approximans,0.82,3.1,19.64
Circus_ranivorus,0.78,2.62,15.38
Circus_maillardi,0.82,2.98,17.51
Circus_macrosceles,0.85,3.27,19.15
Circus_buffoni,0.76,2.62,15.84
Circus_assimilis,0.81,2.88,17.19
Circus_maurus,0.76,2.62,16.37
Circus_cyaneus,0.71,2.31,16.38
Circus_hudsonius,0.73,1.6,16.42
Circus_cinereus,0.74,2.5,15.97
Circus_macrourus,0.71,2.3,15.88
Circus_melanoleucos,0.7,2.24,15.36
Circus_pygargus,0.71,2.29,15.58
Accipiter_poliogaster,0.82,2.49,17.75
Accipiter_trivirgatus,0.78,2.02,14.09
Accipiter_griseiceps,0.77,1.8,12.7
Accipiter_toussenelii,0.74,1.72,12.72
Accipiter_tachiro,0.78,2.09,14.66
Accipiter_castanilius,0.72,1.58,11.58
Accipiter_badius,0.68,1.63,11.42
Accipiter_butleri,0.78,1.9,13.61
Accipiter_brevipes,0.66,1.62,13.34
Accipiter_soloensis,0.65,1.58,12.38
Accipiter_francesiae,0.75,1.56,11.15
Accipiter_trinotatus,0.75,1.62,11.45
Accipiter_sylvestris,0.55,1.89,15.19
Accipiter_hiogaster,0.55,1.89,11.06
Accipiter_novaehollandiae,0.77,2.03,14.99
Accipiter_poliocephalus,0.8,2.1,13.81
Accipiter_princeps,0.8,1.67,13.09
Accipiter_fasciatus,0.78,2.07,15.15
Accipiter_melanochlamys,0.77,1.82,12.93
Accipiter_albogularis,0.77,1.79,12.87
Accipiter_haplochrous,0.73,1.77,13
Accipiter_rufitorques,0.75,1.86,13.28
Accipiter_henicogrammus,0.79,1.9,13.35
Accipiter_luteoschistaceus,0.76,1.74,12.43
Accipiter_imitator,0.76,1.76,12.56
Accipiter_erythropus,0.73,1.7,11.45
Accipiter_minullus,0.72,1.63,11.2
Accipiter_gularis,0.66,1.54,12.77
Accipiter_virgatus,0.65,1.53,11.46
Accipiter_nanus,0.8,1.72,12.03
Accipiter_erythrauchen,0.75,1.64,11.58
Accipiter_cirrocephalus,0.7,1.64,12.33
Accipiter_brachyurus,0.74,1.61,11.5
Accipiter_rhodogaster,0.75,1.67,11.82
Accipiter_madagascariensis,0.72,1.74,12.66
Accipiter_ovampensis,0.73,1.76,12.34
Accipiter_nisus,0.65,1.61,13.91
Accipiter_rufiventris,0.73,1.77,12.3
Accipiter_striatus,0.62,1.45,11.6
Accipiter_cooperii,0.69,1.83,15
Accipiter_gundlachi,0.78,2.16,16.05
Accipiter_bicolor,0.76,2.06,14.11
Accipiter_henstii,0.84,2.65,18.72
Accipiter_melanoleucus,0.79,2.27,15.6
Accipiter_gentilis,0.77,2.27,19.15
Accipiter_meyerianus,0.8,2.31,15.83
Accipiter_collaris,0.79,1.9,13.4
Accipiter_superciliosus,0.73,1.67,11.32
Erythrotriorchis_buergersi,0.82,2.33,16.58
Erythrotriorchis_radiatus,0.85,2.91,20.01
Megatriorchis_doriae,0.84,2.59,18.4
Urotriorchis_macrourus,0.78,2.17,15.92
Haliaeetus_leucogaster,0.91,4.46,22.95
Haliaeetus_sanfordi,0.91,4.13,21.84
Haliaeetus_vocifer,0.91,4.62,22.99
Haliaeetus_vociferoides,0.91,4.51,23.85
Haliaeetus_leucoryphus,0.86,3.93,21.72
Haliaeetus_albicilla,0.91,4.93,30.63
Haliaeetus_leucocephalus,0.91,4.93,29.97
Haliaeetus_pelagicus,0.92,5.44,33.55
Icthyophaga_humilis,0.82,2.63,18.06
Icthyophaga_ichthyaetus,0.88,3.44,23.55
Haliastur_sphenurus,0.86,2.52,23.31
Haliastur_indus,0.84,2.18,19.58
Milvus_milvus,0.74,2.54,27.5
Milvus_migrans,0.75,2.49,25.12
Busarellus_nigricollis,0.85,2.94,19.27
Geranospiza_caerulescens,0.79,2.26,15.19
Butastur_rufipennis,0.8,2.03,10.88
Butastur_teesa,0.76,1.97,11.49
Butastur_liventer,0.78,2.06,11.41
Butastur_indicus,0.75,2.07,13.05
Ictinia_mississippiensis,0.79,2.03,13.46
Ictinia_plumbea,0.8,2.07,12.26
Rostrhamus_sociabilis,0.83,2.04,15.5
Helicolestes_hamatus,0.83,2.3,14.86
Rupornis_magnirostris,0.8,2.3,15.36
Parabuteo_unicinctus,0.77,3.19,16.6
Parabuteo_leucorrhous,0.73,2.68,14.27
Cryptoleucopteryx_plumbea,0.81,2.25,15.99
Buteogallus_schistaceus,0.75,2.25,13.5
Buteogallus_anthracinus,0.82,2.6,16.99
Buteogallus_gundlachii,0.79,2.22,15.35
Buteogallus_aequinoctialis,0.86,2.38,14.14
Buteogallus_meridionalis,0.84,2.71,16.79
Buteogallus_lacernulatus,0.81,2.1,13.83
Buteogallus_urubitinga,0.85,2.79,17.25
Buteogallus_solitarius,0.89,3.5,20.97
Buteogallus_coronatus,0.75,2.25,13.5
Morphnarchus_princeps,0.84,2.59,18.29
Geranoaetus_albicaudatus,0.82,2.94,16.29
Geranoaetus_polyosoma,0.75,3,24.25
Geranoaetus_melanoleucus,0.87,3.57,20.92
Pseudastur_albicollis,0.85,2.89,18.64
Pseudastur_occidentalis,0.82,2.39,16.93
Pseudastur_polionotus,0.8,2.34,17.33
Leucopternis_semiplumbeus,0.78,2.03,14.62
Leucopternis_melanops,0.76,1.98,14.61
Leucopternis_kuhli,0.79,2.12,15.18
Bermuteo_avivorus,0.75,3.27,22.69
Buteo_plagiatus,0.81,1.99,20.91
Buteo_nitidus,0.82,2.28,16.87
Buteo_ridgwayi,0.86,2.52,19.53
Buteo_lineatus,0.78,2.09,18.06
Buteo_platypterus,0.8,2.14,18.35
Buteo_solitarius,0.82,2.18,17.14
Buteo_albigula,0.83,2.17,17.55
Buteo_brachyurus,0.84,2.26,16.63
Buteo_swainsoni,0.83,2.47,21.02
Buteo_galapagoensis,0.89,2.92,21.14
Buteo_albonotatus,0.84,2.45,17.67
Buteo_jamaicensis,0.84,2.55,22.02
Buteo_ventralis,0.87,2.69,23.17
Buteo_lagopus,0.79,2.2,21.48
Buteo_regalis,0.82,2.48,21.8
Buteo_auguralis,0.82,2.3,17.29
Buteo_augur,0.88,2.75,19.96
Buteo_rufofuscus,0.88,2.82,22.56
Buteo_buteo,0.81,2.28,20.54
Buteo_japonicus,0.81,2.49,25.34
Buteo_refectus,0.81,2.49,25.34
Buteo_oreophilus,0.84,2.33,17.04
Buteo_trizonatus,0.81,2.36,20.91
Buteo_brachypterus,0.84,2.27,17.65
Buteo_rufinus,0.83,2.48,21.31
Buteo_socotraensis,0.81,1.99,8.5
Buteo_hemilasius,0.83,2.55,22.08
Colius_striatus,0.67,1.31,11.29
Colius_leucocephalus,0.63,1.17,10.14
Colius_castanotus,0.66,1.28,11.51
Colius_colius,0.64,1.21,11.5
Urocolius_macrourus,0.66,1.1,11.12
Urocolius_indicus,0.61,1.01,11.08
Leptosomus_discolor,0.73,1.71,12.54
Apaloderma_narina,0.7,1.54,10.2
Apaloderma_aequatoriale,0.74,1.55,10.03
Apaloderma_vittatum,0.72,1.48,9.75
Apalharpactes_reinwardtii,0.77,1.69,11
Apalharpactes_mackloti,0.79,1.86,11.8
Harpactes_oreskios,0.72,1.49,11.49
Harpactes_orrhophaeus,0.73,1.52,11.07
Harpactes_duvaucelii,0.72,1.44,10.4
Harpactes_fasciatus,0.71,1.46,11.4
Harpactes_diardii,0.76,1.5,12.28
Harpactes_erythrocephalus,0.72,1.53,12.29
Harpactes_wardi,0.71,1.56,13.62
Harpactes_whiteheadi,0.72,1.33,10.99
Harpactes_kasumba,0.77,1.72,12.38
Harpactes_ardens,0.73,1.59,12.22
Pharomachrus_pavoninus,0.75,1.79,13.79
Pharomachrus_auriceps,0.76,1.83,14.03
Pharomachrus_fulgidus,0.75,1.79,13.97
Pharomachrus_mocinno,0.76,2.08,15.97
Pharomachrus_antisianus,0.72,1.77,13.66
Euptilotis_neoxenus,0.74,1.52,12.61
Priotelus_temnurus,0.67,1.45,11.68
Temnotrogon_roseigaster,0.73,1.63,11.25
Trogon_clathratus,0.71,1.88,13.4
Trogon_massena,0.71,1.7,13.68
Trogon_comptus,0.73,1.53,11.66
Trogon_mesurus,0.74,1.83,12.81
Trogon_melanurus,0.72,1.7,12.97
Trogon_viridis,0.71,1.62,12.46
Trogon_chionurus,0.72,1.75,12.36
Trogon_melanocephalus,0.73,1.5,11.9
Trogon_citreolus,0.73,1.48,11.83
Trogon_bairdii,0.71,1.63,12.79
Trogon_violaceus,0.67,1.42,10.8
Trogon_curucui,0.72,1.45,9.97
Trogon_aurantius,0.72,1.5,13
Trogon_surrucura,0.72,1.55,10.58
Trogon_rufus,0.74,1.51,10.06
Trogon_elegans,0.74,1.5,11.65
Trogon_ambiguus,0.74,1.5,13
Trogon_mexicanus,0.73,1.53,10.91
Trogon_collaris,0.73,1.51,10.03
Trogon_personatus,0.75,1.53,11.24
Bucorvus_leadbeateri,0.9,3.65,43.47
Bucorvus_abyssinicus,0.91,3.63,47.32
Lophoceros_pallidirostris,0.73,1.68,11.97
Lophoceros_nasutus,0.75,1.73,11.55
Lophoceros_semifasciatus,0.41,2.34,30.03
Lophoceros_fasciatus,0.77,1.69,13.63
Lophoceros_hemprichii,0.79,1.98,13.42
Lophoceros_camurus,0.72,1.45,10.71
Lophoceros_alboterminatus,0.77,1.77,13.68
Lophoceros_bradfieldi,0.77,1.71,12.6
Tockus_flavirostris,0.79,1.27,15.4
Tockus_leucomelas,0.73,1.1,14.71
Tockus_jacksoni,0.77,1.14,15.5
Tockus_deckeni,0.77,1.14,15.37
Tockus_monteiri,0.72,1.11,15.07
Tockus_damarensis,0.41,1,16.5
Tockus_erythrorhynchus,0.7,0.98,13.77
Berenicornis_comatus,0.88,2.88,20.54
Horizocerus_albocristatus,0.82,2.13,13.99
Horizocerus_cassini,0.41,2.34,30.03
Horizocerus_granti,0.41,2.34,30.03
Horizocerus_hartlaubi,0.72,1.44,10.66
Ceratogymna_elata,0.83,2.77,21.81
Ceratogymna_atrata,0.86,2.95,20.46
Bycanistes_brevis,0.86,2.97,25.62
Bycanistes_subcylindricus,0.84,2.84,24.94
Bycanistes_cylindricus,0.83,2.5,23.87
Bycanistes_albotibialis,0.81,2.4,23.46
Bycanistes_bucinator,0.79,2.33,21.63
Bycanistes_fistulator,0.81,2.4,21.45
Bycanistes_sharpii,0.41,2.34,31.8
Rhinoplax_vigil,0.88,3.51,25.36
Buceros_hydrocorax,0.86,3.41,23.13
Buceros_mindanensis,0.41,4.5,31
Buceros_bicornis,0.86,4.17,28.65
Buceros_rhinoceros,0.88,4.36,27.58
Anorrhinus_galeritus,0.83,2.19,20.2
Anorrhinus_austeni,0.8,2,20.26
Anorrhinus_tickelli,0.82,1.96,19.11
Ocyceros_birostris,0.75,2.01,16.6
Ocyceros_griseus,0.75,1.99,15.83
Ocyceros_gingalensis,0.75,2.07,15.62
Anthracoceros_malayanus,0.83,2.1,16.12
Anthracoceros_montani,0.82,2.02,15.63
Anthracoceros_coronatus,0.8,1.92,16
Anthracoceros_albirostris,0.83,2.11,16.88
Anthracoceros_marchei,0.82,1.96,14.95
Aceros_nipalensis,0.88,3.38,26.66
Rhabdotorrhinus_corrugatus,0.84,2.89,21.36
Rhabdotorrhinus_exarhatus,0.76,2.09,15.79
Rhabdotorrhinus_leucocephalus,0.84,2.79,20.95
Rhabdotorrhinus_waldeni,0.85,2.95,22.67
Penelopides_panini,0.79,2.28,24.68
Penelopides_affinis,0.82,2.14,22.66
Penelopides_mindorensis,0.79,2.19,25.48
Penelopides_manillae,0.72,1.94,22.54
Rhyticeros_cassidix,0.86,3.13,23.21
Rhyticeros_everetti,0.85,2.83,21.91
Rhyticeros_undulatus,0.86,3.21,24.25
Rhyticeros_subruficollis,0.86,3.16,24.27
Rhyticeros_narcondami,0.82,2.56,19.66
Rhyticeros_plicatus,0.87,3.17,23.25
Upupa_epops,0.49,1.05,9.98
Upupa_marginata,0.41,1,11.1
Upupa_antaios,0.41,1,11.1
Phoeniculus_purpureus,0.7,2.42,9.75
Phoeniculus_damarensis,0.72,2.57,10.62
Phoeniculus_somaliensis,0.61,1.9,7.95
Phoeniculus_bollei,0.74,2.56,9.99
Rhinopomastus_castaneiceps,0.68,1.15,8.2
Rhinopomastus_aterrimus,0.68,1.17,8.42
Rhinopomastus_cyanomelas,0.66,1.24,8.69
Rhinopomastus_minor,0.66,1.23,8.12
Nyctyornis_amictus,0.68,1.39,9.44
Nyctyornis_athertoni,0.73,1.46,10.79
Meropogon_forsteni,0.73,1.34,9.48
Merops_bullockoides,0.78,1.34,7.23
Merops_bulocki,0.77,1.28,6.76
Merops_breweri,0.82,1.55,7.78
Merops_albicollis,0.66,1.08,6.19
Merops_revoilii,0.81,1.14,6.22
Merops_malimbicus,0.82,1.62,8
Merops_nubicus,0.77,1.39,7.43
Merops_nubicoides,0.77,1.39,7.59
Merops_viridissimus,0.8,1.17,6.47
Merops_cyanophrys,0.8,1.17,6.47
Merops_orientalis,0.61,0.93,5.54
Merops_leschenaulti,0.65,1.05,6.11
Merops_viridis,0.77,1.36,7.5
Merops_americanus,0.8,1.17,6.47
Merops_philippinus,0.66,1.1,6.43
Merops_superciliosus,0.76,1.33,7.37
Merops_persicus,0.74,1.3,8.06
Merops_apiaster,0.65,1.12,7.29
Merops_ornatus,0.69,1.15,6.76
Merops_boehmi,0.76,1.2,6.35
Merops_hirundineus,0.77,1.27,6.63
Merops_lafresnayii,0.8,1.17,6.47
Merops_oreobates,0.79,1.34,6.75
Merops_variegatus,0.79,1.33,6.73
Merops_pusillus,0.68,1.01,5.42
Merops_gularis,0.81,1.43,7.13
Merops_muelleri,0.78,1.15,6.07
Merops_mentalis,0.8,1.17,6.47
Coracias_naevius,0.74,2.09,10.3
Coracias_benghalensis,0.73,1.91,10.47
Coracias_affinis,0.55,2,9.09
Coracias_temminckii,0.76,2.1,9.26
Coracias_spatulatus,0.73,1.89,8.73
Coracias_caudatus,0.75,1.93,9.86
Coracias_abyssinicus,0.65,1.72,8.17
Coracias_garrulus,0.67,1.85,9.93
Coracias_cyanogaster,0.73,1.83,9.15
Eurystomus_gularis,0.75,1.65,10.81
Eurystomus_glaucurus,0.73,1.69,11.05
Eurystomus_orientalis,0.69,1.59,11.3
Eurystomus_azureus,0.77,1.57,11.02
Brachypteracias_leptosomus,0.81,2.03,13.74
Geobiastes_squamiger,0.8,1.96,13.27
Uratelornis_chimaera,0.78,1.88,13.42
Atelornis_pittoides,0.73,1.57,11.07
Atelornis_crossleyi,0.76,1.65,11.34
Todus_multicolor,0.58,0.91,8.35
Todus_angustirostris,0.6,0.96,8.66
Todus_subulatus,0.61,0.98,8.91
Todus_todus,0.63,1,8.83
Todus_mexicanus,0.62,0.99,8.69
Hylomanes_momotula,0.67,1.19,8.72
Aspatha_gularis,0.71,1.46,10.19
Momotus_mexicanus,0.72,1.51,10.35
Momotus_coeruliceps,0.55,1.15,10.4
Momotus_lessonii,0.55,1.15,10.4
Momotus_subrufescens,0.55,1.15,10.4
Momotus_bahamensis,0.55,1.15,10.4
Momotus_momota,0.71,1.49,11.05
Momotus_aequatorialis,0.78,1.64,10.92
Baryphthengus_martii,0.77,1.61,12.72
Baryphthengus_ruficapillus,0.77,1.78,12.54
Electron_carinatum,0.68,1.33,10.12
Electron_platyrhynchum,0.73,1.56,10.4
Eumomota_superciliosa,0.67,1.35,9.7
Ispidina_lecontei,0.59,1.01,6.72
Ispidina_picta,0.51,0.95,6.54
Corythornis_madagascariensis,0.54,1.11,8.23
Corythornis_leucogaster,0.72,1.27,9.27
Corythornis_cristatus,0.57,1.14,8.18
Corythornis_thomensis,0.55,1.15,9.36
Corythornis_nais,0.55,1.15,9.36
Corythornis_vintsioides,0.58,1.17,8.9
Ceyx_sangirensis,0.55,1.15,9.36
Ceyx_fallax,0.66,1.08,7.69
Ceyx_melanurus,0.61,1.09,8.32
Ceyx_mindanensis,0.55,1.15,9.36
Ceyx_erithaca,0.51,0.98,7.02
Ceyx_margarethae,0.55,1.15,9.36
Ceyx_lepidus,0.68,1.28,8.26
Ceyx_wallacii,0.55,1.15,9.36
Ceyx_cajeli,0.55,1.15,9.36
Ceyx_solitarius,0.55,1.15,9.36
Ceyx_dispar,0.55,1.15,9.36
Ceyx_mulcatus,0.55,1.15,9.36
Ceyx_sacerdotis,0.55,1.15,9.36
Ceyx_meeki,0.55,1.15,9.36
Ceyx_collectoris,0.55,1.15,9.36
Ceyx_nigromaxilla,0.55,1.15,9.36
Ceyx_gentianus,0.55,1.15,9.36
Ceyx_cyanopectus,0.61,1.05,8.86
Ceyx_nigrirostris,0.55,1.15,9.36
Ceyx_flumenicola,0.55,1.15,9.36
Ceyx_argentatus,0.61,1.01,8.38
Ceyx_pusillus,0.57,1,6.98
Ceyx_azureus,0.58,1.24,9.66
Ceyx_websteri,0.69,1.28,10.5
Alcedo_peninsulae,0.33,1,21
Alcedo_euryzona,0.52,1.22,12.96
Alcedo_meninting,0.48,1.07,11.87
Alcedo_hercules,0.44,1.03,11.96
Alcedo_quadribrachys,0.52,1.19,12.73
Alcedo_semitorquata,0.59,1.36,14.92
Alcedo_atthis,0.41,1.03,13.28
Alcedo_coerulescens,0.57,1.12,11.82
Megaceryle_lugubris,0.72,1.35,14.4
Megaceryle_maxima,0.77,1.71,15.07
Megaceryle_torquata,0.75,1.7,15.53
Megaceryle_alcyon,0.54,1.1,12.29
Ceryle_rudis,0.6,1.15,7.76
Chloroceryle_amazona,0.78,1.73,10.24
