Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Mitu_salvini,0.88,2.27,24.73
Pauxi_unicornis,0.9,3.54,29.49
Pauxi_koepckeae,0.47,1.36,13.22
Pauxi_pauxi,0.88,3.16,26.16
Numida_meleagris,0.61,1.14,10.94
Agelastes_meleagrides,0.49,1.21,10.05
Agelastes_niger,0.84,2.19,15.33
Acryllium_vulturinum,0.39,1.06,11.5
Guttera_plumifera,0.61,1.45,12.44
Guttera_verreauxi,0.47,1.36,13.22
Guttera_pucherani,0.81,2.26,17.2
Guttera_edouardi,0.47,1.36,13.22
Ptilopachus_petrosus,0.66,1.45,13.09
Ptilopachus_nahani,0.73,1.72,14.62
Philortyx_fasciatus,0.61,1.29,12.18
Oreortyx_pictus,0.44,1.02,12
Colinus_virginianus,0.54,1.04,9.25
Colinus_nigrogularis,0.61,1.03,8.93
Colinus_leucopogon,0.62,1.03,8.79
Colinus_cristatus,0.34,0.72,6.41
Callipepla_squamata,0.35,1.03,8.96
Callipepla_douglasii,0.53,1.36,9.57
Callipepla_gambelii,0.34,1.01,8.89
Callipepla_californica,0.4,0.86,8.23
Dendrortyx_barbatus,0.8,2.01,16.08
Dendrortyx_macroura,0.74,1.83,16.63
Dendrortyx_leucophrys,0.72,1.71,15.47
Odontophorus_gujanensis,0.77,1.82,13.85
Odontophorus_capueira,0.7,1.84,15.67
Odontophorus_melanotis,0.77,1.84,14.46
Odontophorus_erythrops,0.81,1.85,14.45
Odontophorus_atrifrons,0.8,1.81,14.44
Odontophorus_hyperythrus,0.81,1.85,14.51
Odontophorus_melanonotus,0.81,1.83,14.22
Odontophorus_speciosus,0.8,1.83,14.59
Odontophorus_dialeucos,0.79,1.76,13.93
Odontophorus_strophium,0.8,1.81,14.26
Odontophorus_columbianus,0.7,1.58,12.94
Odontophorus_leucolaemus,0.69,1.58,14.17
Odontophorus_balliviani,0.8,1.83,14.7
Odontophorus_stellatus,0.8,1.85,14.62
Odontophorus_guttatus,0.72,1.66,15.03
Rhynchortyx_cinctus,0.77,1.63,11.7
Dactylortyx_thoracicus,0.66,1.46,13.68
Cyrtonyx_montezumae,0.44,0.99,9.34
Cyrtonyx_sallei,0.47,1,13.22
Cyrtonyx_ocellatus,0.77,1.13,13.48
Xenoperdix_udzungwensis,0.79,1.76,12.57
Rollulus_rouloul,0.69,1.51,11.76
Arborophila_torqueola,0.73,1.76,13.11
Arborophila_rufogularis,0.75,1.78,11.75
Arborophila_atrogularis,0.73,1.66,10.99
Arborophila_crudigularis,0.59,1.31,10.43
Arborophila_mandellii,0.76,1.76,11.69
Arborophila_brunneopectus,0.79,1.8,12.31
Arborophila_rufipectus,0.72,1.73,10.7
Arborophila_gingica,0.68,1.49,10.32
Arborophila_davidi,0.79,1.74,11.65
Arborophila_cambodiana,0.79,1.79,12.05
Arborophila_campbelli,0.81,1.85,12.18
Arborophila_rolli,0.81,1.85,12.14
Arborophila_sumatrana,0.81,1.85,12.1
Arborophila_orientalis,0.8,1.99,11.95
Arborophila_javanica,0.76,1.77,10.85
Arborophila_rubrirostris,0.79,1.71,11.18
