Species,Species_origin,body_size,clutch_size,habitat_use,habitat_specialization,leg_development,reproductive_mode,activity_time
Lepidodactylus lugubris,Lepidodactylus lugubris,6.61,1.5,4,1,1,1,1
Lepidodactylus yami,Lepidodactylus yami,6.08,2,4,1,1,1,1
Mediodactylus russowii,Mediodactylus russowii,6.73,1.5,4,3,1,1,3
Phrynocephalus mystaceus,Phrynocephalus mystaceus,10.25,5,2,1,1,1,2
Phrynocephalus axillaris,Phrynocephalus axillaris,8.2,2.6,2,1,1,1,2
Phrynocephalus erythrurus,Phrynocephalus erythrurus,7.83,2.21,2,1,1,2,2
Phrynocephalus forsythii,Phrynocephalus forsythii,8.06,4.8,2,1,1,2,2
Phrynocephalus frontalis,Phrynocephalus frontalis,7.83,3.2,2,2,1,1,2
Phrynocephalus grumgrzimailoi,Phrynocephalus grumgrzimailoi,8.2,3.7,2,3,1,1,2
NA,Phrynocephalus guinanensis,8.06,3.1,2,2,1,2,2
Phrynocephalus melanurus,Phrynocephalus guttatus,8.28,3.23,2,1,1,1,2
Phrynocephalus helioscopus,Phrynocephalus helioscopus,8.51,3.7,2,2,1,1,2
Phrynocephalus przewalskii,Phrynocephalus przewalskii,9.29,2.85,2,4,1,1,2
Phrynocephalus putjatai,Phrynocephalus putjatai,9.07,3.1,2,3,1,2,2
Phrynocephalus theobaldi,Phrynocephalus theobaldi,8.2,2.2,2,3,1,2,2
Phrynocephalus versicolor,Phrynocephalus versicolor,8.37,3.3,2,4,1,1,2
Phrynocephalus vlangalii,Phrynocephalus vlangalii,9.03,3.36,2,3,1,2,2
Physignathus cocincinus,Physignathus cocincinus,12.46,10.36,1,2,1,1,2
Plestiodon capito,Plestiodon capito,9.02,6,2,2,1,1,2
Plestiodon chinensis,Plestiodon chinensis,10.69,16.4,2,4,1,1,2
Plestiodon elegans,Plestiodon elegans,9.9,5.95,2,4,1,1,2
Plestiodon liui,Plestiodon liui,8.44,2,2,4,1,1,2
Plestiodon popei,Plestiodon popei,8.93,2,2,1,1,1,2
Plestiodon quadrilineatus,Plestiodon quadrilineatus,9.02,2,2,1,1,1,2
Plestiodon tamdaoensis,Plestiodon tamdaoensis,10.57,16.4,2,1,1,1,2
Plestiodon tunganus,Plestiodon tunganus,9.06,5,2,1,1,1,2
Pseudocalotes brevipes,Pseudocalotes brevipes,8.82,3,4,1,1,1,2
Pseudocalotes kakhienensis,Pseudocalotes kakhienensis,10.36,5,4,1,1,1,2
Pseudocalotes kingdonwardi,Pseudocalotes kingdonwardi,9.71,4,4,2,1,1,2
Pseudocalotes microlepis,Pseudocalotes microlepis,9.11,4,4,2,1,1,2
Ptyctolaemus gularis,Ptyctolaemus gularis,9.19,10.4,4,1,1,1,3
Scincella barbouri,Scincella barbouri,7.38,5.2,2,1,1,1,2
Scincella doriae,Scincella doriae,8.04,7.55,2,1,1,1,1
Scincella formosensis,Scincella formosensis,7.33,8,2,1,1,1,2
Scincella huanrenensis,Scincella huanrenensis,8.21,4.56,2,1,1,2,2
Scincella modesta,Scincella modesta,8.43,7.55,2,1,1,1,2
Scincella monticola,Scincella monticola,8.04,2.5,2,3,1,1,2
Scincella potanini,Scincella potanini,7.13,4.9,2,4,1,2,2
Scincella przewalskii,Scincella przewalskii,7.02,4.9,2,1,1,2,2
Scincella reevesii,Scincella reevesii,8.1,4.8,2,2,1,2,2
Scincella schmidti,Scincella schmidti,7.29,2,2,1,1,2,2
Scincella tsinlingensis,Scincella tsinlingensis,8.59,3,2,1,1,2,2
Shinisaurus crocodilurus,Shinisaurus crocodilurus,11.01,6.3,1,2,1,2,2
Sphenomorphus courcyanum,Sphenomorphus courcyanum,7.09,5.22,2,2,1,1,2
Sphenomorphus incognitus,Sphenomorphus incognitus,10.04,4.6,1,2,1,1,2
Sphenomorphus indicus,Sphenomorphus indicus,9.89,7.27,2,2,1,2,2
Sphenomorphus maculatus,Sphenomorphus maculatus,8.59,3.85,2,2,1,1,2
Sphenomorphus taiwanensis,Sphenomorphus taiwanensis,8.53,5.22,3,2,1,1,2
Sphenomorphus tonkinensis,Sphenomorphus tonkinensis,7.66,3.5,2,3,1,1,2
Takydromus amurensis,Takydromus amurensis,8.39,5,2,2,1,1,2
Takydromus formosanus,Takydromus formosanus,7.73,2,2,1,1,1,2
Takydromus hsuehshanensis,Takydromus hsuehshanensis,8.08,2.78,2,2,1,1,2
Takydromus intermedius,Takydromus intermedius,7.64,3,4,2,1,1,2
Takydromus kuehnei,Takydromus kuehnei,7.8,1.8,4,2,1,1,2
Takydromus luyeanus,Takydromus luyeanus,7.24,2.5,2,2,1,1,2
Takydromus sauteri,Takydromus sauteri,8.26,2,4,2,1,1,2
Takydromus septentrionalis,Takydromus septentrionalis,8.39,3.3,4,3,1,1,2
Takydromus sexlineatus,Takydromus sexlineatus,7.99,2.2,4,3,1,1,2
Takydromus stejnegeri,Takydromus stejnegeri,7.64,2.2,2,2,1,1,2
Takydromus sylvaticus,Takydromus sylvaticus,7.44,3,4,3,1,1,2
Takydromus viridipunctatus,Takydromus viridipunctatus,7.51,2.5,2,1,1,1,2
Takydromus wolteri,Takydromus wolteri,7.82,3.75,4,3,1,1,2
Tenuidactylus elongatus,Tenuidactylus elongatus,6.91,2,2,2,1,1,1
Teratoscincus przewalskii,Teratoscincus przewalskii,9.03,2,2,2,1,1,1
Teratoscincus roborowskii,Teratoscincus roborowskii,8.97,2,2,2,1,1,1
Teratoscincus scincus,Teratoscincus scincus,9.66,2,2,2,1,1,1
Trapelus sanguinolentus,Trapelus sanguinolentus,11.57,11,4,3,1,1,2
Tropidophorus berdmorei,Tropidophorus berdmorei,9.65,11.5,1,2,1,2,2
Tropidophorus guangxiensis,Tropidophorus guangxiensis,8.3,8.75,1,3,1,2,2
Tropidophorus hainanus,Tropidophorus hainanus,7.98,4,1,2,1,1,2
Tropidophorus sinicus,Tropidophorus sinicus,8.64,6,1,2,1,2,1
Varanus irrawadicus,Varanus bengalensis,16.7,20.2,2,6,1,1,2
Varanus salvator,Varanus salvator,17.55,10.65,1,4,1,1,2
Zootoca vivipara,Zootoca vivipara,8.28,6.7,2,5,1,2,2
