"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7"
"Acanthosaura_armata",0.350944845598257,1.82320884770331,1.15123189305314,1.32665235040163,-0.420353162641435,-1.33675620879793,1.41338285520352
"Acanthosaura_lepidogaster",1.4657779776399,1.13512441445283,2.56854326352659,0.382408425244591,1.3042795197414,-0.454148972612734,1.06708532871956
"Acanthosaura_tongbiguanensis",0.725455119745619,0.322263905405174,0.0649608572620316,-0.632764078925035,0.143989552735814,-0.690290861272952,-0.547023622328389
"Calotes_emma",-0.541641001014393,1.05509714680995,0.924676934552151,0.922023199721359,-0.97143639020504,-0.352763998153696,0.702524441782543
"Calotes_jerdoni",0.765059977546074,1.63042411761473,1.63445734790148,1.03117243014358,0.180766456608256,-1.08941056867164,1.33180074701463
"Calotes_medogensis",0.679626760798862,1.55690485481494,1.61277280187353,0.992443640007041,0.128019919112882,-0.995228457081403,1.26376144173005
"Calotes_mystaceus",0.0953208671785268,0.504932322155661,1.84258035314149,0.24435711263092,0.112713585244996,0.352782755808366,0.387033422528831
"Calotes_versicolor",2.10333929664894,1.68377562937665,2.73036823388444,0.671429247159066,1.69791039657256,-1.15700055164433,1.57484133830597
"Diploderma_batangense",-0.776686219802649,0.277494114715479,-0.572534012219598,0.39430516069428,1.28337910793166,-0.683226506074358,0.749522569061193
"Diploderma_brevicaudum",0.520555692373955,0.11110465387585,0.0369382072220474,-0.756300454122775,0.0393967596855353,-0.419760572987931,-0.736301232183283
"Diploderma_brevipes",-0.709957189232781,0.910253226070061,0.881955142377683,0.845721702735939,-1.07535494168846,-0.167211181289356,0.568476855251728
"Diploderma_chapaense",-1.17364552829685,-0.181405358030404,-0.592524934099362,0.111142326005408,1.11208246840468,-0.095270956535397,0.345511747565051
"Diploderma_drukdaypo",-1.55745173835815,-0.328820912214843,-0.815854918239014,0.0980630192275161,0.760086780515847,0.0934503594299782,0.176838755364573
"Diploderma_dymondi",-0.318794264769289,0.697717052244232,1.35935489829314,0.539837032888968,-0.488406034004694,0.105437115682073,0.468615530717723
"Diploderma_fasciatum",0.445679867225441,0.257282470574707,2.30962331095404,-0.0800248898185779,0.674470116811571,0.670413553837816,0.254675713381295
"Diploderma_flaviceps",-0.0321913966232793,0.395202079170896,1.81021535906992,0.186552948248023,0.0339874098787662,0.493353071614684,0.285482220611547
"Diploderma_grahami",-1.24241492542343,-0.224333058053289,-0.621169850753416,0.0942676828974548,1.05940108542117,-0.0402894635312577,0.302918103616645
"Diploderma_iadinum",-1.52493687328601,-0.298024146401693,-0.809541129204185,0.115280772007932,0.778389939009068,0.0539961147712534,0.204843412071543
"Diploderma_laeviventre",-1.49357295289486,-0.268542865520912,-0.803295663960416,0.131690763923038,0.796186972909838,0.0162273005235104,0.231687952729224
"Diploderma_luei",-0.79666552861801,0.835636660840421,0.859946946409016,0.80641487095557,-1.1288887409375,-0.0716233665410589,0.499422037947975
"Diploderma_makii",-0.709957189232781,0.910253226070061,0.881955142377683,0.845721702735939,-1.07535494168846,-0.167211181289356,0.568476855251728
"Diploderma_menghaiense",0.324502882298681,0.162489607967489,-0.16437101194911,-0.651507591421844,-0.220099451154506,-0.485738983308418,-0.727556694896529
"Diploderma_micangshanense",-0.669153264816202,0.945366903825186,0.892311940480585,0.864219035338466,-1.05016256557127,-0.212193682347378,0.600973239865259
"Diploderma_polygonatum",0.314678252034325,0.157980695536131,-0.169581442393563,-0.652489473204607,-0.228647202908725,-0.479965541595263,-0.732425266954358
"Diploderma_slowinskii",0.59643166927527,0.279500203543114,-0.0147926904364381,-0.631183880751513,0.0213868052798774,-0.635555270368094,-0.598637489562947
"Diploderma_splendidum",-0.255038132868385,0.752582173736615,1.37553739532893,0.568739115080416,-0.44904294632158,0.035151957778914,0.519391131676365
"Diploderma_swild",-0.408922955132009,0.479030214576944,1.43365096818029,0.374799442276869,-0.455275237827208,0.385683825722854,0.291114337894099
"Diploderma_swinhonis",-0.510062660472,0.533121687767085,1.31080740718579,0.453130786314625,-0.606495297054038,0.316292589391551,0.316288727841799
"Diploderma_varcoae",-0.414128737212588,1.16482738979472,0.957041928623723,0.979827364104257,-0.89271021483881,-0.493334313960015,0.804075643699825
"Diploderma_vela",-1.23433172689393,-0.256722958318493,-0.592026728802762,0.0633108012184889,1.08914230203211,0.00123082166142042,0.279880419293899
"Diploderma_yulongense",0.200818960240404,0.075272269618693,-0.208997087176721,-0.690665614440231,-0.308551424486542,-0.374022135144156,-0.811661883633677
"Diploderma_yunnanense",-0.477884869113491,1.10996226830233,0.940859431587939,0.950925281912809,-0.932073302521925,-0.423049156056856,0.753300042741183
"Diploderma_zhaoermii",0.43807682500217,0.210810974763668,-0.101519786335988,-0.64350256134397,-0.118894584073792,-0.547607220263999,-0.674123755523483
"Draco_blanfordii",-0.898675339659455,0.747852466452609,0.834054951151761,0.760171539449253,-1.19186968123048,0.040832886103996,0.418181076414149
"Draco_maculatus",-0.68857982979453,0.379499347588413,1.26549641548559,0.372204956178571,-0.716711942566759,0.513091031520397,0.174117045157602
"Japalura_andersoniana",-0.255038132868385,0.752582173736615,1.37553739532893,0.568739115080416,-0.44904294632158,0.035151957778914,0.519391131676365
"Japalura_tricarinata",-0.486158649550178,0.461694770618159,1.38021918910082,0.38301672422837,-0.533865666031962,0.407857632756523,0.266407926796317
"Laudakia_himalayana",-1.43562135019901,-0.156118220320712,-0.831658201457124,0.2130044946287,0.792616176179465,-0.127837756474903,0.324702328352556
