"taxa"	"result.synonym"
"AVES_CHARADRIIFORMES_CHARADRIIDAE_Vanellus_gregarius"	"Chettusia_gregaria"
"AVES_PASSERIFORMES_ZOSTEROPIDAE_Yuhina_torqueola"	NA
"AVES_GRUIFORMES_RALLIDAE_Zapornia_akool"	"Amaurornis_akool"
"AVES_GRUIFORMES_RALLIDAE_Zapornia_bicolor"	"Amaurornis_bicolor"
"AVES_GRUIFORMES_RALLIDAE_Zapornia_paykullii"	"Porzana_paykullii"
"AVES_GRUIFORMES_RALLIDAE_Zapornia_pusilla"	"Porzana_pusilla"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Arctonyx_collaris"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Arctonyx_isonyx"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Arctonyx_leucolaemus"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Arctonyx_obscurus"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Arctonyx_taxoides"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Meles_albogularis"
"MAMMALIA_CARNIVORA_MUSTELIDAE_Arctonyx_albogularis"	"Meles_leucolaemus"
"MAMMALIA_RODENTIA_MURIDAE_Berylmys_mackenziei"	NA
"MAMMALIA_RODENTIA_GLIRIDAE_Chaetocauda_sichuanensis"	"Dryomys_sichuanensis"
"MAMMALIA_EULIPOTYPHLA_SORICIDAE_Chodsigoa_lamula"	"Soriculus_lamula"
"MAMMALIA_EULIPOTYPHLA_SORICIDAE_Chodsigoa_salenskii"	"Soriculus_salenskii"
"MAMMALIA_RODENTIA_CRICETIDAE_Cricetulus_tibetanus"	NA
"MAMMALIA_EULIPOTYPHLA_SORICIDAE_Crocidura_gmelini"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Eptesicus_pachyomus"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Eptesicus_pachyotis"	"Vesperugo_pachyotis"
"MAMMALIA_RODENTIA_MURIDAE_Hadromys_yunnanensis"	NA
"MAMMALIA_CHIROPTERA_HIPPOSIDERIDAE_Hipposideros_gentilis"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Hypsugo_affinis"	"Falsistrellus_affinis"
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Hypsugo_affinis"	"Pipistrellus_affinis"
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Hypsugo_affinis"	"Vesperugo_affinis"
"MAMMALIA_CHIROPTERA_MEGADERMATIDAE_Lyroderma_lyra"	"Encheira_lyra"
"MAMMALIA_CHIROPTERA_MEGADERMATIDAE_Lyroderma_lyra"	"Megaderma_lyra"
"MAMMALIA_CHIROPTERA_MEGADERMATIDAE_Lyroderma_lyra"	"Megaderma_spectrum"
"MAMMALIA_CHIROPTERA_MEGADERMATIDAE_Lyroderma_lyra"	"Vespertilio_carnatica"
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Murina_fusca"	NA
"MAMMALIA_CARNIVORA_MUSTELIDAE_Mustela_russelliana"	NA
"MAMMALIA_RODENTIA_SCIURIDAE_Petaurista_magnificus"	NA
"MAMMALIA_RODENTIA_SCIURIDAE_Petaurista_mechukaensis"	NA
"MAMMALIA_RODENTIA_SCIURIDAE_Petaurista_mishmiensis"	NA
"MAMMALIA_RODENTIA_SCIURIDAE_Petaurista_nobilis"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Pipistrellus_aladdin"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Plecotus_ariel"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Plecotus_taivanus"	NA
"MAMMALIA_CHIROPTERA_RHINOLOPHIDAE_Rhinolophus_schnitzleri"	NA
"MAMMALIA_CHIROPTERA_RHINOLOPHIDAE_Rhinolophus_subbadius"	NA
"MAMMALIA_CHIROPTERA_RHINOLOPHIDAE_Rhinolophus_yunanensis"	"MAMMALIA_CHIROPTERA_RHINOLOPHIDAE_Rhinolophus_yunnanensis"
"MAMMALIA_RODENTIA_GLIRIDAE_Selevinia_betpakdalaensis"	NA
"MAMMALIA_RODENTIA_DIPODIDAE_Sicista_pseudonapaea"	NA
"MAMMALIA_EULIPOTYPHLA_SORICIDAE_Sorex_kozlovi"	NA
"MAMMALIA_EULIPOTYPHLA_SORICIDAE_Sorex_planiceps"	NA
"MAMMALIA_RODENTIA_SCIURIDAE_Spermophilus_ralli"	NA
"MAMMALIA_CHIROPTERA_VESPERTILIONIDAE_Tylonycteris_pygmaeus"	NA
"REPTILIA_SQUAMATA_XENODERMIDAE_Achalinus_hainanus"	NA
"REPTILIA_SQUAMATA_XENODERMIDAE_Achalinus_jinggangensis"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Alsophylax_przewalskii"	NA
"REPTILIA_SQUAMATA_NATRICIDAE_Amphiesmoides_ornaticeps"	NA
"REPTILIA_SQUAMATA_TYPHLOPIDAE_Argyrophis_koshunensis"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Cyrtodactylus_medogensis"	NA
"REPTILIA_SQUAMATA_COLUBRIDAE_Dendrelaphis_gorei"	NA
"REPTILIA_SQUAMATA_COLUBRIDAE_Dendrelaphis_hollinrakei"	NA
"REPTILIA_SQUAMATA_AGAMIDAE_Diploderma_brevicauda"	NA
"REPTILIA_SQUAMATA_AGAMIDAE_Diploderma_grahami"	NA
"REPTILIA_SQUAMATA_ANGUIDAE_Dopasia_ludovici"	NA
"REPTILIA_SQUAMATA_LACERTIDAE_Eremias_kokshaaliensis"	NA
"REPTILIA_SQUAMATA_LACERTIDAE_Eremias_quadrifrons"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Gekko_bannaense"	REPTILIA_SQUAMATA_GEKKONIDAE_Ptychozoon_bannaense
"REPTILIA_SQUAMATA_GEKKONIDAE_Gekko_guishanicus"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Gekko_liboensis"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Gekko_taibaiensis"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Gekko_wenxianensis"	NA
"REPTILIA_SQUAMATA_NATRICIDAE_Hebius_taronensis"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Hemidactylus_stejnegeri"	NA
"REPTILIA_SQUAMATA_GEKKONIDAE_Hemidactylus_vietnamensis"	NA
"REPTILIA_SQUAMATA_TYPHLOPIDAE_Indotyphlops_lazelli"	NA
"REPTILIA_SQUAMATA_COLUBRIDAE_Lycodon_davisonii"	NA
