AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_kempii	AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_kempii
AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_maosonensis	AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_maosonensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_tytthus	AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_tytthus
AMPHIBIA_ANURA_DICROGLOSSIDAE_Quasipaa_acanthophora	AMPHIBIA_ANURA_DICROGLOSSIDAE_Quasipaa_acanthophora
AMPHIBIA_ANURA_RANIDAE_Rana_chevronta	AMPHIBIA_ANURA_RANIDAE_Rana_chevronta
AMPHIBIA_ANURA_RANIDAE_Rana_luanchuanensis	AMPHIBIA_ANURA_RANIDAE_Rana_luanchuanensis
AMPHIBIA_ANURA_RHACOPHORIDAE_Raorchestes_andersoni	AMPHIBIA_ANURA_RHACOPHORIDAE_Ixalus_tuberculatus
AMPHIBIA_ANURA_RHACOPHORIDAE_Raorchestes_andersoni	AMPHIBIA_ANURA_RHACOPHORIDAE_Philautus_andersoni
AMPHIBIA_ANURA_RHACOPHORIDAE_Raorchestes_andersoni	AMPHIBIA_ANURA_RHACOPHORIDAE_Theloderma_andersoni
AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_laoshan	AMPHIBIA_ANURA_RHACOPHORIDAE_Rhacophorus_laoshan
AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_adungensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_adungensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_brevipes	AMPHIBIA_ANURA_MEGOPHRYIDAE_Aelurophryne_brevipes
AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_maculatus	AMPHIBIA_ANURA_MEGOPHRYIDAE_Aelurophryne_maculata
AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_pingwuensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_pingwuensis
AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_wanglangensis	AMPHIBIA_ANURA_MEGOPHRYIDAE_Scutiger_wanglangensis
