"i","FD.FRic","FD.FEve","FD.FDiv","FD.FDis","FD.RaoQ"
"10000","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10001","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10002","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10003","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10005","6.04896149193573","0.999025348969298","0.978298102873319","2.1596485592579","4.66666666666667"
"10008","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10009","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10010","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10011","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10012","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10013","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10014","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10015","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10016","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10017","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10018","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10019","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10020","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10099","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10100","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10101","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10102","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10103","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10104","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10105","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10106","5.7069911638545","0.889422777431422","0.905657520979777","2.14519463124554","4.66666666666667"
"10107","5.7069911638545","0.889422777431422","0.905657520979777","2.14519463124554","4.66666666666667"
"10108","5.7069911638545","0.889422777431422","0.905657520979777","2.14519463124554","4.66666666666667"
"10109","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10110","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10111","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10112","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10113","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10114","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10115","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10116","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10117","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10118","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10119","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10120","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10121","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10202","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10203","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10204","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10205","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10206","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10207","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10208","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10209","5.7069911638545","0.889422777431422","0.905657520979777","2.14519463124554","4.66666666666667"
"10210","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10211","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10212","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10213","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10214","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10215","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10216","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10217","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10218","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10219","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10220","0.988795701527923","0.743002503600208","0.835363323686055","2.31638499422734","5.6"
"10221","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10222","4.60817222832279","0.875447339064179","0.823206647377414","2.2302542057377","5.25"
"10223","5.47434408078553","0.824046704767993","0.87855395188748","2.1369342217288","4.66666666666667"
"10304","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10305","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10306","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10307","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10308","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10309","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
"10310","5.18152320275068","0.91909926424829","0.951488478936055","2.28631531056099","5.25"
