Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Carlia fusca,0,0,0,0,0,0.2,0.8,Terrestrial,Terrestrial,Terrestrial
Carlia gracilis,0,0,0,0,0,0.066,0.933,Terrestrial,Terrestrial,Terrestrial
Carlia jarnoldae,0,0,0,0.943,0.003,0,0.053,Scansorial,Scansorial,Scansorial
Carlia longipes,0.001,0,0.005,0.921,0,0.073,0,Scansorial,Scansorial,Scansorial
Carlia munda,0,0,0,0,0,0.086,0.914,Terrestrial,Terrestrial,Terrestrial
Carlia pectoralis,0,0,0,0,0,0.188,0.812,Terrestrial,Terrestrial,Terrestrial
Carlia rhomboidalis,0,0,0,0,0,0.175,0.825,Terrestrial,Terrestrial,Terrestrial
Carlia rostralis,0.001,0,0.004,0.935,0,0.06,0,Scansorial,Scansorial,Scansorial
Carlia rubrigularis,0,0,0,0,0,0.175,0.825,Terrestrial,Terrestrial,Terrestrial
Carlia rufilatus,0,0,0,0,0,0.074,0.926,Terrestrial,Terrestrial,Terrestrial
Carlia schmeltzii,0,0,0,0,0,0.207,0.793,Terrestrial,Terrestrial,Terrestrial
Carlia storri,0,0,0,0.92,0.005,0,0.075,Scansorial,Scansorial,Scansorial
Carlia tetradactyla,0,0,0,0,0,0.188,0.812,Terrestrial,Terrestrial,Terrestrial
Carlia triacantha,0,0,0,0,0,0.136,0.864,Terrestrial,Terrestrial,Terrestrial
Carlia vivax,0,0,0,0,0,0.121,0.879,Terrestrial,Terrestrial,Terrestrial
